observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,ITI,duration_tones,ISI,trial_n,run_n,session_n
1542.1878,1531.5998,1502.6360,700,750,40,40,1,6,0,10,10,10.5880,3.0000,0.1000,0.6500,0,0,2
1581.9373,1591.6806,1545.5045,700,750,40,40,1,6,0,10,10,-9.7433,3.0000,0.1000,0.6500,0,0,2
1638.4999,1627.8874,1563.7058,700,750,40,40,1,6,0,10,10,10.6125,3.0000,0.1000,0.6500,0,0,2
1683.3182,1664.7558,1604.6275,700,750,40,40,1,6,0,10,10,18.5624,3.0000,0.1000,0.6500,0,0,2
1717.7516,1713.0498,1623.7899,700,750,40,40,1,6,0,10,10,4.7018,3.0000,0.1000,0.6500,0,0,2
1748.1171,1750.4400,1668.6024,700,750,40,40,1,6,0,10,10,-2.3229,3.0000,0.1000,0.6500,0,0,2
1696.8266,1792.6588,1700.8961,700,750,40,40,1,6,1,10,10,-4.0695,3.0000,0.1000,0.6500,0,0,2
1809.0020,1815.3442,1753.4146,700,750,40,40,1,6,0,10,10,-6.3423,3.0000,0.1000,0.6500,0,0,2
1491.7330,1494.7472,1557.7109,700,750,40,40,1,4,0,10,10,-3.0142,4.0000,0.1000,0.6500,1,0,2
1490.2076,1473.6608,1554.2602,700,750,40,40,1,4,0,10,10,16.5468,4.0000,0.1000,0.6500,1,0,2
1480.2934,1486.3754,1544.0558,700,750,40,40,1,4,0,10,10,-6.0820,4.0000,0.1000,0.6500,1,0,2
1484.8148,1480.9843,1537.9835,700,750,40,40,1,4,0,10,10,3.8305,4.0000,0.1000,0.6500,1,0,2
1506.2576,1472.4134,1520.0618,700,750,40,40,1,4,1,10,10,-13.8042,4.0000,0.1000,0.6500,1,0,2
1446.8000,1451.6994,1509.2473,700,750,40,40,1,4,0,10,10,-4.8994,4.0000,0.1000,0.6500,1,0,2
1430.6598,1454.1948,1515.6193,700,750,40,40,1,4,0,10,10,-23.5350,4.0000,0.1000,0.6500,1,0,2
1437.0966,1436.2238,1482.4702,700,750,40,40,1,4,0,10,10,0.8728,4.0000,0.1000,0.6500,1,0,2
1371.3409,1348.8005,1584.3781,700,750,40,40,1,4,0,10,10,22.5405,3.0000,0.1000,0.6500,2,0,2
1349.1009,1349.6168,1582.9057,700,750,40,40,1,4,0,10,10,-0.5159,3.0000,0.1000,0.6500,2,0,2
1315.5892,1319.6302,1577.9038,700,750,40,40,1,4,0,10,10,-4.0410,3.0000,0.1000,0.6500,2,0,2
1304.5599,1318.7622,1577.8823,700,750,40,40,1,4,0,10,10,-14.2022,3.0000,0.1000,0.6500,2,0,2
1579.9431,1324.9212,1579.5955,700,750,40,40,1,4,1,10,10,0.3477,3.0000,0.1000,0.6500,2,0,2
1332.3653,1331.3710,1571.5513,700,750,40,40,1,4,0,10,10,0.9943,3.0000,0.1000,0.6500,2,0,2
1315.0907,1314.8880,1578.0901,700,750,40,40,1,4,0,10,10,0.2027,3.0000,0.1000,0.6500,2,0,2
1309.2225,1307.3843,1605.4336,700,750,40,40,1,4,0,10,10,1.8382,3.0000,0.1000,0.6500,2,0,2
1463.7180,1467.8211,1608.7196,700,750,40,40,1,5,0,10,10,-4.1031,3.5000,0.1000,0.6500,3,0,2
1466.5112,1478.9179,1629.6440,700,750,40,40,1,5,0,10,10,-12.4066,3.5000,0.1000,0.6500,3,0,2
1452.0991,1473.3088,1629.1561,700,750,40,40,1,5,0,10,10,-21.2097,3.5000,0.1000,0.6500,3,0,2
1458.7890,1460.1048,1636.3271,700,750,40,40,1,5,0,10,10,-1.3158,3.5000,0.1000,0.6500,3,0,2
1470.2298,1473.1763,1623.8900,700,750,40,40,1,5,0,10,10,-2.9465,3.5000,0.1000,0.6500,3,0,2
1634.2435,1470.3101,1635.0961,700,750,40,40,1,5,1,10,10,-0.8526,3.5000,0.1000,0.6500,3,0,2
1477.0035,1482.6595,1625.4491,700,750,40,40,1,5,0,10,10,-5.6560,3.5000,0.1000,0.6500,3,0,2
1503.9352,1494.0871,1607.7555,700,750,40,40,1,5,0,10,10,9.8482,3.5000,0.1000,0.6500,3,0,2
1468.2686,1479.8253,1440.4460,700,750,40,40,1,6,0,10,10,-11.5567,3.5000,0.1000,0.6500,4,0,2
1488.3300,1491.0529,1442.9613,700,750,40,40,1,6,0,10,10,-2.7229,3.5000,0.1000,0.6500,4,0,2
1496.0964,1494.4569,1428.7465,700,750,40,40,1,6,0,10,10,1.6394,3.5000,0.1000,0.6500,4,0,2
1488.2755,1488.4975,1427.0378,700,750,40,40,1,6,0,10,10,-0.2220,3.5000,0.1000,0.6500,4,0,2
1493.7662,1505.7609,1419.6297,700,750,40,40,1,6,0,10,10,-11.9946,3.5000,0.1000,0.6500,4,0,2
1530.0149,1526.8244,1405.6320,700,750,40,40,1,6,0,10,10,3.1905,3.5000,0.1000,0.6500,4,0,2
1397.6438,1532.0433,1402.2067,700,750,40,40,1,6,1,10,10,-4.5629,3.5000,0.1000,0.6500,4,0,2
1528.0574,1528.1999,1398.4855,700,750,40,40,1,6,0,10,10,-0.1425,3.5000,0.1000,0.6500,4,0,2
