observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,ITI,duration_tones,ISI,trial_n,run_n,session_n
1454.7679,1451.9727,1356.3431,700,750,240,240,1,4,0,10,10,2.7952,5.5000,0.1000,0.6500,0,0,3
1457.3351,1458.7778,1355.0599,700,750,240,240,1,4,0,10,10,-1.4427,5.5000,0.1000,0.6500,0,0,3
1455.8532,1457.2870,1355.0571,700,750,240,240,1,4,0,10,10,-1.4338,5.5000,0.1000,0.6500,0,0,3
1486.3322,1486.1879,1359.8964,700,750,240,240,1,4,0,10,10,0.1443,5.5000,0.1000,0.6500,0,0,3
1387.4428,1488.4518,1370.2839,700,750,240,240,1,4,1,10,10,17.1589,5.5000,0.1000,0.6500,0,0,3
1501.3778,1505.8926,1373.6336,700,750,240,240,1,4,0,10,10,-4.5148,5.5000,0.1000,0.6500,0,0,3
1530.8850,1529.1255,1387.9741,700,750,240,240,1,4,0,10,10,1.7595,5.5000,0.1000,0.6500,0,0,3
1525.1565,1539.1122,1407.4763,700,750,240,240,1,4,0,10,10,-13.9557,5.5000,0.1000,0.6500,0,0,3
1654.5856,1674.3582,1617.6742,700,750,240,240,1,5,0,10,10,-19.7726,7.5000,0.1000,0.6500,1,0,3
1681.6799,1682.1575,1610.2540,700,750,240,240,1,5,0,10,10,-0.4776,7.5000,0.1000,0.6500,1,0,3
1685.7440,1679.9714,1629.7989,700,750,240,240,1,5,0,10,10,5.7726,7.5000,0.1000,0.6500,1,0,3
1697.1796,1690.4193,1629.4761,700,750,240,240,1,5,0,10,10,6.7603,7.5000,0.1000,0.6500,1,0,3
1683.3488,1691.2202,1617.7045,700,750,240,240,1,5,0,10,10,-7.8714,7.5000,0.1000,0.6500,1,0,3
1594.3863,1697.5747,1611.5023,700,750,240,240,1,5,1,10,10,-17.1159,7.5000,0.1000,0.6500,1,0,3
1697.9580,1705.9224,1613.5412,700,750,240,240,1,5,0,10,10,-7.9644,7.5000,0.1000,0.6500,1,0,3
1703.8464,1720.3543,1603.8598,700,750,240,240,1,5,0,10,10,-16.5079,7.5000,0.1000,0.6500,1,0,3
1681.7375,1680.3852,1449.2563,700,750,240,240,1,6,0,10,10,1.3523,3.5000,0.1000,0.6500,2,0,3
1679.4801,1679.6261,1435.9387,700,750,240,240,1,6,0,10,10,-0.1460,3.5000,0.1000,0.6500,2,0,3
1682.8180,1681.6925,1435.8171,700,750,240,240,1,6,0,10,10,1.1256,3.5000,0.1000,0.6500,2,0,3
1697.2047,1681.4735,1436.8943,700,750,240,240,1,6,0,10,10,15.7312,3.5000,0.1000,0.6500,2,0,3
1681.3625,1690.4090,1439.0012,700,750,240,240,1,6,0,10,10,-9.0465,3.5000,0.1000,0.6500,2,0,3
1692.0448,1686.5768,1420.5449,700,750,240,240,1,6,0,10,10,5.4680,3.5000,0.1000,0.6500,2,0,3
1426.4415,1681.0368,1426.1936,700,750,240,240,1,6,1,10,10,0.2479,3.5000,0.1000,0.6500,2,0,3
1659.8195,1667.2395,1414.4693,700,750,240,240,1,6,0,10,10,-7.4200,3.5000,0.1000,0.6500,2,0,3
1675.5222,1671.9931,1436.9953,700,750,240,240,1,6,0,10,10,3.5291,6.5000,0.1000,0.6500,3,0,3
1677.0334,1662.2012,1443.2019,700,750,240,240,1,6,0,10,10,14.8322,6.5000,0.1000,0.6500,3,0,3
1652.4924,1651.2813,1440.8597,700,750,240,240,1,6,0,10,10,1.2111,6.5000,0.1000,0.6500,3,0,3
1623.1777,1655.3160,1435.6728,700,750,240,240,1,6,0,10,10,-32.1383,6.5000,0.1000,0.6500,3,0,3
1660.6128,1647.8579,1439.6626,700,750,240,240,1,6,0,10,10,12.7549,6.5000,0.1000,0.6500,3,0,3
1653.2719,1649.0205,1439.4107,700,750,240,240,1,6,0,10,10,4.2514,6.5000,0.1000,0.6500,3,0,3
1430.1063,1654.6012,1435.6675,700,750,240,240,1,6,1,10,10,-5.5612,6.5000,0.1000,0.6500,3,0,3
1631.0951,1646.2139,1437.1765,700,750,240,240,1,6,0,10,10,-15.1188,6.5000,0.1000,0.6500,3,0,3
1651.3828,1654.7022,1527.6192,700,750,240,240,1,5,0,10,10,-3.3194,6.0000,0.1000,0.6500,4,0,3
1663.9664,1652.6063,1538.1592,700,750,240,240,1,5,0,10,10,11.3602,6.0000,0.1000,0.6500,4,0,3
1630.4575,1640.7510,1549.6463,700,750,240,240,1,5,0,10,10,-10.2936,6.0000,0.1000,0.6500,4,0,3
1627.9936,1639.4342,1565.5367,700,750,240,240,1,5,0,10,10,-11.4406,6.0000,0.1000,0.6500,4,0,3
1644.2949,1643.9960,1575.4844,700,750,240,240,1,5,0,10,10,0.2989,6.0000,0.1000,0.6500,4,0,3
1572.7157,1634.7721,1585.1557,700,750,240,240,1,5,1,10,10,-12.4400,6.0000,0.1000,0.6500,4,0,3
1622.5754,1624.4026,1578.9648,700,750,240,240,1,5,0,10,10,-1.8272,6.0000,0.1000,0.6500,4,0,3
1643.7034,1636.2842,1567.9453,700,750,240,240,1,5,0,10,10,7.4191,6.0000,0.1000,0.6500,4,0,3
1435.3818,1429.7034,1570.2379,700,750,240,240,1,5,0,10,10,5.6785,7.0000,0.1000,0.6500,5,0,3
1399.4823,1409.7651,1567.2518,700,750,240,240,1,5,0,10,10,-10.2827,7.0000,0.1000,0.6500,5,0,3
1400.7644,1417.7900,1581.5741,700,750,240,240,1,5,0,10,10,-17.0256,7.0000,0.1000,0.6500,5,0,3
1452.8977,1444.6533,1589.4208,700,750,240,240,1,5,0,10,10,8.2444,7.0000,0.1000,0.6500,5,0,3
1422.9018,1440.7874,1595.8980,700,750,240,240,1,5,0,10,10,-17.8856,7.0000,0.1000,0.6500,5,0,3
1599.6891,1456.7174,1587.6404,700,750,240,240,1,5,1,10,10,12.0486,7.0000,0.1000,0.6500,5,0,3
1437.5664,1451.1704,1581.6307,700,750,240,240,1,5,0,10,10,-13.6040,7.0000,0.1000,0.6500,5,0,3
1459.4797,1459.0921,1571.5476,700,750,240,240,1,5,0,10,10,0.3876,7.0000,0.1000,0.6500,5,0,3
1657.6672,1646.1109,1527.4957,700,750,240,240,1,4,0,10,10,11.5563,6.5000,0.1000,0.6500,6,0,3
1643.6561,1644.1021,1525.2236,700,750,240,240,1,4,0,10,10,-0.4460,6.5000,0.1000,0.6500,6,0,3
1631.7907,1641.7226,1524.0628,700,750,240,240,1,4,0,10,10,-9.9319,6.5000,0.1000,0.6500,6,0,3
1639.0270,1644.1622,1530.5310,700,750,240,240,1,4,0,10,10,-5.1352,6.5000,0.1000,0.6500,6,0,3
1514.1972,1647.7507,1518.7139,700,750,240,240,1,4,1,10,10,-4.5167,6.5000,0.1000,0.6500,6,0,3
1661.7586,1651.2830,1509.4445,700,750,240,240,1,4,0,10,10,10.4757,6.5000,0.1000,0.6500,6,0,3
1675.9628,1658.3605,1501.9982,700,750,240,240,1,4,0,10,10,17.6023,6.5000,0.1000,0.6500,6,0,3
1677.1645,1661.9965,1509.8535,700,750,240,240,1,4,0,10,10,15.1680,6.5000,0.1000,0.6500,6,0,3
1493.4776,1492.8788,1627.1169,700,750,240,240,1,4,0,10,10,0.5988,7.5000,0.1000,0.6500,7,0,3
1510.1952,1494.1223,1630.1560,700,750,240,240,1,4,0,10,10,16.0729,7.5000,0.1000,0.6500,7,0,3
1515.7571,1486.8210,1624.1409,700,750,240,240,1,4,0,10,10,28.9361,7.5000,0.1000,0.6500,7,0,3
1463.8065,1471.8590,1616.9607,700,750,240,240,1,4,0,10,10,-8.0525,7.5000,0.1000,0.6500,7,0,3
1633.9128,1483.9098,1618.0706,700,750,240,240,1,4,1,10,10,15.8422,7.5000,0.1000,0.6500,7,0,3
1478.2307,1487.4677,1611.7977,700,750,240,240,1,4,0,10,10,-9.2369,7.5000,0.1000,0.6500,7,0,3
1470.3816,1478.6063,1615.9781,700,750,240,240,1,4,0,10,10,-8.2247,7.5000,0.1000,0.6500,7,0,3
1491.3659,1489.7621,1615.4801,700,750,240,240,1,4,0,10,10,1.6038,7.5000,0.1000,0.6500,7,0,3
1516.9329,1498.3870,1476.9377,700,750,240,240,1,5,0,10,10,18.5459,4.5000,0.1000,0.6500,8,0,3
1498.7871,1495.4441,1494.8347,700,750,240,240,1,5,0,10,10,3.3430,4.5000,0.1000,0.6500,8,0,3
1491.8011,1494.2546,1500.5785,700,750,240,240,1,5,0,10,10,-2.4535,4.5000,0.1000,0.6500,8,0,3
1498.9712,1500.8335,1501.7831,700,750,240,240,1,5,0,10,10,-1.8622,4.5000,0.1000,0.6500,8,0,3
1495.0616,1496.2164,1506.2877,700,750,240,240,1,5,0,10,10,-1.1548,4.5000,0.1000,0.6500,8,0,3
1504.8227,1510.1997,1500.6833,700,750,240,240,1,5,1,10,10,4.1395,4.5000,0.1000,0.6500,8,0,3
1520.6993,1530.4530,1509.9856,700,750,240,240,1,5,0,10,10,-9.7536,4.5000,0.1000,0.6500,8,0,3
1517.1495,1525.5903,1511.5728,700,750,240,240,1,5,0,10,10,-8.4408,4.5000,0.1000,0.6500,8,0,3
1601.1189,1600.2664,1512.9055,700,750,240,240,1,4,0,10,10,0.8525,6.5000,0.1000,0.6500,9,0,3
1589.7035,1583.9041,1515.1190,700,750,240,240,1,4,0,10,10,5.7994,6.5000,0.1000,0.6500,9,0,3
1585.8349,1580.7084,1508.8311,700,750,240,240,1,4,0,10,10,5.1265,6.5000,0.1000,0.6500,9,0,3
1553.8817,1560.9709,1517.2265,700,750,240,240,1,4,0,10,10,-7.0893,6.5000,0.1000,0.6500,9,0,3
1524.8468,1556.8352,1512.7803,700,750,240,240,1,4,1,10,10,12.0665,6.5000,0.1000,0.6500,9,0,3
1529.3959,1540.3380,1516.6972,700,750,240,240,1,4,0,10,10,-10.9421,6.5000,0.1000,0.6500,9,0,3
1538.8906,1535.3902,1514.1935,700,750,240,240,1,4,0,10,10,3.5004,6.5000,0.1000,0.6500,9,0,3
1506.6397,1517.1789,1522.0601,700,750,240,240,1,4,0,10,10,-10.5392,6.5000,0.1000,0.6500,9,0,3
1545.9630,1556.3034,1325.4763,700,750,240,240,1,5,0,10,10,-10.3404,6.5000,0.1000,0.6500,10,0,3
1541.3416,1534.7932,1335.4062,700,750,240,240,1,5,0,10,10,6.5484,6.5000,0.1000,0.6500,10,0,3
1524.9129,1526.1096,1345.7339,700,750,240,240,1,5,0,10,10,-1.1967,6.5000,0.1000,0.6500,10,0,3
1527.1601,1526.0224,1354.1889,700,750,240,240,1,5,0,10,10,1.1377,6.5000,0.1000,0.6500,10,0,3
1546.2414,1533.0023,1356.3627,700,750,240,240,1,5,0,10,10,13.2392,6.5000,0.1000,0.6500,10,0,3
1337.9865,1534.7957,1356.2920,700,750,240,240,1,5,1,10,10,-18.3055,6.5000,0.1000,0.6500,10,0,3
1551.0705,1534.8398,1375.0990,700,750,240,240,1,5,0,10,10,16.2307,6.5000,0.1000,0.6500,10,0,3
1516.9183,1521.0259,1379.6313,700,750,240,240,1,5,0,10,10,-4.1076,6.5000,0.1000,0.6500,10,0,3
1262.4658,1254.1718,1512.0770,700,750,240,240,1,4,0,10,10,8.2940,3.0000,0.1000,0.6500,11,0,3
1236.7912,1237.5702,1502.5093,700,750,240,240,1,4,0,10,10,-0.7791,3.0000,0.1000,0.6500,11,0,3
1199.6583,1206.2128,1506.3338,700,750,240,240,1,4,0,10,10,-6.5545,3.0000,0.1000,0.6500,11,0,3
1182.0462,1190.4673,1499.9265,700,750,240,240,1,4,0,10,10,-8.4211,3.0000,0.1000,0.6500,11,0,3
1510.3796,1197.1650,1497.4425,700,750,240,240,1,4,1,10,10,12.9371,3.0000,0.1000,0.6500,11,0,3
1193.7019,1199.6618,1493.0385,700,750,240,240,1,4,0,10,10,-5.9599,3.0000,0.1000,0.6500,11,0,3
1218.4655,1203.7436,1487.3512,700,750,240,240,1,4,0,10,10,14.7219,3.0000,0.1000,0.6500,11,0,3
1207.0675,1206.6779,1490.5079,700,750,240,240,1,4,0,10,10,0.3896,3.0000,0.1000,0.6500,11,0,3
1678.4101,1673.6550,1459.1229,700,750,240,240,1,6,0,10,10,4.7551,4.0000,0.1000,0.6500,12,0,3
1659.9213,1671.1608,1454.7826,700,750,240,240,1,6,0,10,10,-11.2395,4.0000,0.1000,0.6500,12,0,3
1667.2817,1666.8372,1440.2239,700,750,240,240,1,6,0,10,10,0.4445,4.0000,0.1000,0.6500,12,0,3
1650.8176,1660.6418,1430.9611,700,750,240,240,1,6,0,10,10,-9.8241,4.0000,0.1000,0.6500,12,0,3
1644.6630,1645.8746,1435.5865,700,750,240,240,1,6,0,10,10,-1.2117,4.0000,0.1000,0.6500,12,0,3
1638.5798,1634.1976,1434.6753,700,750,240,240,1,6,0,10,10,4.3822,4.0000,0.1000,0.6500,12,0,3
1414.9215,1634.8492,1428.9069,700,750,240,240,1,6,1,10,10,-13.9854,4.0000,0.1000,0.6500,12,0,3
1645.0963,1644.3079,1447.0809,700,750,240,240,1,6,0,10,10,0.7884,4.0000,0.1000,0.6500,12,0,3
