observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,ITI,duration_tones,ISI,trial_n,run_n,session_n
1466.0358,1484.9191,1511.4221,1000,1050,40,40,0,4,0,10,10,-18.8832,5.5000,0.1000,0.6500,0,0,5
1524.4680,1517.6315,1541.3754,1000,1050,40,40,0,4,0,10,10,6.8365,5.5000,0.1000,0.6500,0,0,5
1583.6847,1575.7048,1574.4863,1000,1050,40,40,0,4,0,10,10,7.9798,5.5000,0.1000,0.6500,0,0,5
1622.6882,1611.7785,1607.1826,1000,1050,40,40,0,4,0,10,10,10.9097,5.5000,0.1000,0.6500,0,0,5
1638.1706,1646.2437,1658.1195,1000,1050,40,40,0,4,1,10,10,-19.9488,5.5000,0.1000,0.6500,0,0,5
1698.0106,1686.7243,1689.9428,1000,1050,40,40,0,4,0,10,10,11.2863,5.5000,0.1000,0.6500,0,0,5
1721.3411,1722.4670,1721.8170,1000,1050,40,40,0,4,0,10,10,-1.1259,5.5000,0.1000,0.6500,0,0,5
1773.2172,1771.5189,1755.7484,1000,1050,40,40,0,4,0,10,10,1.6982,5.5000,0.1000,0.6500,0,0,5
1446.8732,1456.7329,1588.4431,1000,1050,40,40,0,3,0,10,10,-9.8597,7.5000,0.1000,0.6500,1,0,5
1462.0591,1463.3890,1585.7866,1000,1050,40,40,0,3,0,10,10,-1.3299,7.5000,0.1000,0.6500,1,0,5
1459.4646,1463.4451,1584.3384,1000,1050,40,40,0,3,0,10,10,-3.9806,7.5000,0.1000,0.6500,1,0,5
1568.9747,1444.7720,1580.6806,1000,1050,40,40,0,3,1,10,10,-11.7060,7.5000,0.1000,0.6500,1,0,5
1406.4123,1435.2304,1565.3496,1000,1050,40,40,0,3,0,10,10,-28.8181,7.5000,0.1000,0.6500,1,0,5
1414.9290,1429.1104,1555.8413,1000,1050,40,40,0,3,0,10,10,-14.1814,7.5000,0.1000,0.6500,1,0,5
1406.8782,1425.9429,1552.1545,1000,1050,40,40,0,3,0,10,10,-19.0647,7.5000,0.1000,0.6500,1,0,5
1414.4297,1420.9124,1550.7712,1000,1050,40,40,0,3,0,10,10,-6.4827,7.5000,0.1000,0.6500,1,0,5
1404.0460,1396.7021,1476.3714,1000,1050,40,40,0,3,0,10,10,7.3439,4.5000,0.1000,0.6500,2,0,5
1404.3084,1405.6266,1455.1763,1000,1050,40,40,0,3,0,10,10,-1.3182,4.5000,0.1000,0.6500,2,0,5
1443.2282,1421.4603,1464.5240,1000,1050,40,40,0,3,0,10,10,21.7678,4.5000,0.1000,0.6500,2,0,5
1453.4357,1435.4409,1472.3204,1000,1050,40,40,0,3,1,10,10,-18.8847,4.5000,0.1000,0.6500,2,0,5
1440.5575,1439.7659,1469.6333,1000,1050,40,40,0,3,0,10,10,0.7917,4.5000,0.1000,0.6500,2,0,5
