observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,ITI,duration_tones,ISI,trial_n,run_n,session_n
1208.1076,1224.9672,1491.4125,1000,1050,160,160,1,5,0,10,10,-16.8596,3.5000,0.1000,0.6500,0,0,4
1228.3189,1222.2957,1500.6184,1000,1050,160,160,1,5,0,10,10,6.0232,3.5000,0.1000,0.6500,0,0,4
1250.3309,1251.2612,1503.1912,1000,1050,160,160,1,5,0,10,10,-0.9303,3.5000,0.1000,0.6500,0,0,4
1239.0716,1247.8292,1511.5776,1000,1050,160,160,1,5,0,10,10,-8.7576,3.5000,0.1000,0.6500,0,0,4
1270.7122,1269.3125,1533.7839,1000,1050,160,160,1,5,0,10,10,1.3997,3.5000,0.1000,0.6500,0,0,4
1537.8818,1283.0700,1529.5083,1000,1050,160,160,1,5,1,10,10,8.3735,3.5000,0.1000,0.6500,0,0,4
1299.2180,1295.0525,1542.9607,1000,1050,160,160,1,5,0,10,10,4.1655,3.5000,0.1000,0.6500,0,0,4
1304.4380,1307.7200,1549.7382,1000,1050,160,160,1,5,0,10,10,-3.2820,3.5000,0.1000,0.6500,0,0,4
1504.3417,1510.9393,1435.0631,1000,1050,160,160,0,3,0,10,10,-6.5976,3.0000,0.1000,0.6500,1,0,4
1506.4424,1504.8303,1435.2134,1000,1050,160,160,0,3,0,10,10,1.6121,3.0000,0.1000,0.6500,1,0,4
1494.5435,1510.7722,1442.1905,1000,1050,160,160,0,3,0,10,10,-16.2286,3.0000,0.1000,0.6500,1,0,4
1420.3862,1505.6892,1446.0648,1000,1050,160,160,0,3,1,10,10,-25.6786,3.0000,0.1000,0.6500,1,0,4
1528.4711,1518.8620,1439.4350,1000,1050,160,160,0,3,0,10,10,9.6091,3.0000,0.1000,0.6500,1,0,4
1539.3710,1524.2418,1442.7592,1000,1050,160,160,0,3,0,10,10,15.1292,3.0000,0.1000,0.6500,1,0,4
1528.8120,1533.8775,1447.1050,1000,1050,160,160,0,3,0,10,10,-5.0655,3.0000,0.1000,0.6500,1,0,4
1535.4163,1546.9187,1438.7826,1000,1050,160,160,0,3,0,10,10,-11.5024,3.0000,0.1000,0.6500,1,0,4
1435.7455,1442.4259,1576.1301,1000,1050,160,160,0,3,0,10,10,-6.6804,4.0000,0.1000,0.6500,2,0,4
1443.3679,1441.0220,1586.5221,1000,1050,160,160,0,3,0,10,10,2.3459,4.0000,0.1000,0.6500,2,0,4
1429.3102,1431.4968,1598.7026,1000,1050,160,160,0,3,0,10,10,-2.1865,4.0000,0.1000,0.6500,2,0,4
1614.3112,1443.1609,1607.9323,1000,1050,160,160,0,3,1,10,10,6.3789,4.0000,0.1000,0.6500,2,0,4
1424.5395,1420.7956,1598.6076,1000,1050,160,160,0,3,0,10,10,3.7439,4.0000,0.1000,0.6500,2,0,4
1421.8599,1416.0683,1619.8060,1000,1050,160,160,0,3,0,10,10,5.7915,4.0000,0.1000,0.6500,2,0,4
1420.7658,1419.0210,1621.1150,1000,1050,160,160,0,3,0,10,10,1.7447,4.0000,0.1000,0.6500,2,0,4
1404.3467,1425.6531,1592.2671,1000,1050,160,160,0,3,0,10,10,-21.3065,4.0000,0.1000,0.6500,2,0,4
1397.8246,1398.8786,1705.8853,1000,1050,160,160,0,4,0,10,10,-1.0541,6.0000,0.1000,0.6500,3,0,4
1372.4671,1385.7288,1695.7144,1000,1050,160,160,0,4,0,10,10,-13.2617,6.0000,0.1000,0.6500,3,0,4
1410.5894,1404.4364,1701.2464,1000,1050,160,160,0,4,0,10,10,6.1530,6.0000,0.1000,0.6500,3,0,4
1394.3831,1407.1030,1709.5968,1000,1050,160,160,0,4,0,10,10,-12.7199,6.0000,0.1000,0.6500,3,0,4
1705.1303,1397.8575,1694.8375,1000,1050,160,160,0,4,1,10,10,10.2928,6.0000,0.1000,0.6500,3,0,4
1396.8673,1397.8807,1691.5013,1000,1050,160,160,0,4,0,10,10,-1.0134,6.0000,0.1000,0.6500,3,0,4
1403.6482,1399.7394,1693.6640,1000,1050,160,160,0,4,0,10,10,3.9088,6.0000,0.1000,0.6500,3,0,4
1406.3841,1412.4416,1688.6192,1000,1050,160,160,0,4,0,10,10,-6.0574,6.0000,0.1000,0.6500,3,0,4
1548.6264,1567.6959,1443.2294,1000,1050,160,160,0,2,0,10,10,-19.0696,4.0000,0.1000,0.6500,4,0,4
1575.1633,1562.5101,1442.3732,1000,1050,160,160,0,2,0,10,10,12.6532,4.0000,0.1000,0.6500,4,0,4
1447.9169,1557.9668,1452.3212,1000,1050,160,160,0,2,1,10,10,-4.4043,4.0000,0.1000,0.6500,4,0,4
1556.8489,1553.2061,1450.2289,1000,1050,160,160,0,2,0,10,10,3.6428,4.0000,0.1000,0.6500,4,0,4
