observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,ITI,duration_tones,ISI,trial_n,run_n,session_n
1701.5771,1706.1899,1291.6058,1000,1050,240,240,1,5,0,10,10,-4.6128,7.5000,0.1000,0.6500,5,0,1
1720.5540,1709.1372,1284.4962,1000,1050,240,240,1,5,0,10,10,11.4168,7.5000,0.1000,0.6500,5,0,1
1689.3282,1694.1620,1273.8836,1000,1050,240,240,1,5,0,10,10,-4.8338,7.5000,0.1000,0.6500,5,0,1
1702.5458,1702.9302,1253.9450,1000,1050,240,240,1,5,0,10,10,-0.3844,7.5000,0.1000,0.6500,5,0,1
1260.3677,1703.5146,1248.0855,1000,1050,240,240,1,5,1,10,10,12.2822,7.5000,0.1000,0.6500,5,0,1
1731.8710,1714.4107,1248.4206,1000,1050,240,240,1,5,0,10,10,17.4603,7.5000,0.1000,0.6500,5,0,1
1714.9718,1716.2269,1251.2201,1000,1050,240,240,1,5,0,10,10,-1.2551,7.5000,0.1000,0.6500,5,0,1
1355.4467,1368.3736,1645.6329,1000,1050,240,240,1,4,0,10,10,-12.9270,6.0000,0.1000,0.6500,6,0,1
1370.4844,1376.7040,1638.4900,1000,1050,240,240,1,4,0,10,10,-6.2196,6.0000,0.1000,0.6500,6,0,1
1378.8181,1375.3212,1640.8703,1000,1050,240,240,1,4,0,10,10,3.4969,6.0000,0.1000,0.6500,6,0,1
1385.4184,1392.6121,1632.3409,1000,1050,240,240,1,4,0,10,10,-7.1937,6.0000,0.1000,0.6500,6,0,1
1640.0819,1400.8202,1637.9245,1000,1050,240,240,1,4,1,10,10,2.1574,6.0000,0.1000,0.6500,6,0,1
1396.2725,1406.7825,1645.5995,1000,1050,240,240,1,4,0,10,10,-10.5100,6.0000,0.1000,0.6500,6,0,1
1404.1050,1406.2976,1650.3049,1000,1050,240,240,1,4,0,10,10,-2.1926,6.0000,0.1000,0.6500,6,0,1
1411.7376,1404.3451,1650.0794,1000,1050,240,240,1,4,0,10,10,7.3925,6.0000,0.1000,0.6500,6,0,1
1353.0464,1356.2288,1262.3133,1000,1050,240,240,1,5,0,10,10,-3.1824,6.0000,0.1000,0.6500,7,0,1
1365.9496,1349.4994,1257.0364,1000,1050,240,240,1,5,0,10,10,16.4501,6.0000,0.1000,0.6500,7,0,1
1350.0430,1352.6762,1245.9796,1000,1050,240,240,1,5,0,10,10,-2.6332,6.0000,0.1000,0.6500,7,0,1
1367.4779,1360.7955,1248.8636,1000,1050,240,240,1,5,0,10,10,6.6824,6.0000,0.1000,0.6500,7,0,1
1360.5016,1352.4518,1242.8759,1000,1050,240,240,1,5,0,10,10,8.0498,6.0000,0.1000,0.6500,7,0,1
1279.4841,1362.8875,1271.2918,1000,1050,240,240,1,5,1,10,10,8.1923,6.0000,0.1000,0.6500,7,0,1
1353.4431,1364.0000,1282.3515,1000,1050,240,240,1,5,0,10,10,-10.5569,6.0000,0.1000,0.6500,7,0,1
1385.4553,1396.2349,1262.1867,1000,1050,240,240,1,5,0,10,10,-10.7796,6.0000,0.1000,0.6500,7,0,1
1772.3038,1741.8516,1406.4200,1000,1050,240,240,2,0,0,10,10,30.4523,5.5000,0.1000,0.6500,8,0,1
1763.9691,1748.2342,1412.0024,1000,1050,240,240,2,0,0,10,10,15.7349,5.5000,0.1000,0.6500,8,0,1
1744.5145,1752.5642,1427.5653,1000,1050,240,240,2,0,0,10,10,-8.0496,5.5000,0.1000,0.6500,8,0,1
1741.6539,1744.0491,1436.4703,1000,1050,240,240,2,0,0,10,10,-2.3952,5.5000,0.1000,0.6500,8,0,1
1724.0881,1729.4609,1423.3312,1000,1050,240,240,2,0,0,10,10,-5.3728,5.5000,0.1000,0.6500,8,0,1
1733.9617,1732.4070,1424.9259,1000,1050,240,240,2,0,0,10,10,1.5547,5.5000,0.1000,0.6500,8,0,1
1736.1347,1736.7463,1425.7004,1000,1050,240,240,2,0,0,10,10,-0.6116,5.5000,0.1000,0.6500,8,0,1
1760.1033,1753.3553,1438.5560,1000,1050,240,240,2,0,0,10,10,6.7480,5.5000,0.1000,0.6500,8,0,1
1469.9747,1473.2393,1555.1914,1000,1050,240,240,0,2,0,10,10,-3.2647,3.0000,0.1000,0.6500,9,0,1
1470.3903,1468.6455,1544.1230,1000,1050,240,240,0,2,0,10,10,1.7447,3.0000,0.1000,0.6500,9,0,1
1524.6754,1459.3010,1534.4105,1000,1050,240,240,0,2,1,10,10,-9.7351,3.0000,0.1000,0.6500,9,0,1
1457.8348,1455.8290,1544.8024,1000,1050,240,240,0,2,0,10,10,2.0059,3.0000,0.1000,0.6500,9,0,1
1449.0837,1448.0165,1542.5890,1000,1050,240,240,0,2,0,10,10,1.0672,3.0000,0.1000,0.6500,9,0,1
1468.2705,1454.5609,1543.2177,1000,1050,240,240,0,2,0,10,10,13.7096,3.0000,0.1000,0.6500,9,0,1
1471.3415,1462.1206,1550.7128,1000,1050,240,240,0,2,0,10,10,9.2209,3.0000,0.1000,0.6500,9,0,1
1476.0089,1467.8402,1544.4869,1000,1050,240,240,0,2,0,10,10,8.1687,3.0000,0.1000,0.6500,9,0,1
1492.6816,1490.2667,1742.4026,1000,1050,240,240,0,4,0,10,10,2.4149,4.5000,0.1000,0.6500,10,0,1
1491.7434,1481.5740,1751.9861,1000,1050,240,240,0,4,0,10,10,10.1695,4.5000,0.1000,0.6500,10,0,1
1479.7461,1488.8385,1754.5447,1000,1050,240,240,0,4,0,10,10,-9.0924,4.5000,0.1000,0.6500,10,0,1
1504.8785,1497.6441,1755.2510,1000,1050,240,240,0,4,0,10,10,7.2345,4.5000,0.1000,0.6500,10,0,1
1752.7715,1504.7861,1754.4704,1000,1050,240,240,0,4,1,10,10,-1.6989,4.5000,0.1000,0.6500,10,0,1
1498.4153,1500.7361,1758.3165,1000,1050,240,240,0,4,0,10,10,-2.3208,4.5000,0.1000,0.6500,10,0,1
1504.9838,1507.5688,1737.6213,1000,1050,240,240,0,4,0,10,10,-2.5850,4.5000,0.1000,0.6500,10,0,1
1513.6616,1510.2734,1727.3558,1000,1050,240,240,0,4,0,10,10,3.3883,4.5000,0.1000,0.6500,10,0,1
1454.9709,1458.4924,1750.4293,1000,1050,240,240,0,4,0,10,10,-3.5215,5.5000,0.1000,0.6500,11,0,1
1459.6216,1457.0012,1745.9348,1000,1050,240,240,0,4,0,10,10,2.6204,5.5000,0.1000,0.6500,11,0,1
1453.8806,1454.5641,1745.9710,1000,1050,240,240,0,4,0,10,10,-0.6836,5.5000,0.1000,0.6500,11,0,1
1451.0496,1446.1916,1743.4516,1000,1050,240,240,0,4,0,10,10,4.8580,5.5000,0.1000,0.6500,11,0,1
1736.0634,1441.5120,1734.4080,1000,1050,240,240,0,4,1,10,10,1.6554,5.5000,0.1000,0.6500,11,0,1
1440.5349,1448.4196,1738.6737,1000,1050,240,240,0,4,0,10,10,-7.8847,5.5000,0.1000,0.6500,11,0,1
1470.9096,1456.7591,1742.6395,1000,1050,240,240,0,4,0,10,10,14.1505,5.5000,0.1000,0.6500,11,0,1
1467.0576,1466.6062,1746.3204,1000,1050,240,240,0,4,0,10,10,0.4514,5.5000,0.1000,0.6500,11,0,1
1532.4351,1541.3651,1429.5540,1000,1050,240,240,0,2,0,10,10,-8.9299,7.5000,0.1000,0.6500,12,0,1
1543.4134,1536.2497,1429.2979,1000,1050,240,240,0,2,0,10,10,7.1638,7.5000,0.1000,0.6500,12,0,1
1404.5783,1527.6249,1408.4241,1000,1050,240,240,0,2,1,10,10,-3.8458,7.5000,0.1000,0.6500,12,0,1
1511.4031,1518.2320,1401.6544,1000,1050,240,240,0,2,0,10,10,-6.8289,7.5000,0.1000,0.6500,12,0,1
1530.4800,1522.8604,1402.0752,1000,1050,240,240,0,2,0,10,10,7.6196,7.5000,0.1000,0.6500,12,0,1
1532.9099,1531.5112,1395.0607,1000,1050,240,240,0,2,0,10,10,1.3987,7.5000,0.1000,0.6500,12,0,1
1546.8748,1538.9767,1393.4069,1000,1050,240,240,0,2,0,10,10,7.8981,7.5000,0.1000,0.6500,12,0,1
1557.4816,1547.5107,1388.7617,1000,1050,240,240,0,2,0,10,10,9.9710,7.5000,0.1000,0.6500,12,0,1
1544.8673,1547.4227,1737.9767,1000,1050,240,240,2,0,0,10,10,-2.5554,4.5000,0.1000,0.6500,13,0,1
1564.7344,1560.2384,1750.9006,1000,1050,240,240,2,0,0,10,10,4.4961,4.5000,0.1000,0.6500,13,0,1
1544.7864,1549.0485,1758.2665,1000,1050,240,240,2,0,0,10,10,-4.2621,4.5000,0.1000,0.6500,13,0,1
1571.3540,1550.9033,1780.4189,1000,1050,240,240,2,0,0,10,10,20.4507,4.5000,0.1000,0.6500,13,0,1
1553.8348,1561.5577,1780.9637,1000,1050,240,240,2,0,0,10,10,-7.7229,4.5000,0.1000,0.6500,13,0,1
1557.9835,1566.2034,1792.5616,1000,1050,240,240,2,0,0,10,10,-8.2198,4.5000,0.1000,0.6500,13,0,1
1576.0542,1573.9610,1804.8526,1000,1050,240,240,2,0,0,10,10,2.0932,4.5000,0.1000,0.6500,13,0,1
1574.4341,1558.7481,1802.4722,1000,1050,240,240,2,0,0,10,10,15.6861,4.5000,0.1000,0.6500,13,0,1
1719.3709,1716.6291,1439.0239,1000,1050,240,240,1,4,0,10,10,2.7417,4.5000,0.1000,0.6500,14,0,1
1729.3676,1710.4294,1453.8320,1000,1050,240,240,1,4,0,10,10,18.9382,4.5000,0.1000,0.6500,14,0,1
1730.9790,1713.3441,1438.4658,1000,1050,240,240,1,4,0,10,10,17.6350,4.5000,0.1000,0.6500,14,0,1
1717.7305,1710.9005,1429.8826,1000,1050,240,240,1,4,0,10,10,6.8301,4.5000,0.1000,0.6500,14,0,1
1449.9717,1719.6501,1435.7402,1000,1050,240,240,1,4,1,10,10,14.2315,4.5000,0.1000,0.6500,14,0,1
1708.4887,1704.9638,1444.6295,1000,1050,240,240,1,4,0,10,10,3.5250,4.5000,0.1000,0.6500,14,0,1
1723.7767,1717.7154,1427.6627,1000,1050,240,240,1,4,0,10,10,6.0614,4.5000,0.1000,0.6500,14,0,1
1705.7156,1721.7302,1413.2245,1000,1050,240,240,1,4,0,10,10,-16.0146,4.5000,0.1000,0.6500,14,0,1
1718.2781,1733.4782,1867.3384,1000,1050,240,240,1,6,0,10,10,-15.2002,4.5000,0.1000,0.6500,15,0,1
1717.2227,1722.0525,1868.8021,1000,1050,240,240,1,6,0,10,10,-4.8298,4.5000,0.1000,0.6500,15,0,1
1715.3556,1705.9309,1859.4020,1000,1050,240,240,1,6,0,10,10,9.4247,4.5000,0.1000,0.6500,15,0,1
1708.2026,1718.5476,1850.8747,1000,1050,240,240,1,6,0,10,10,-10.3449,4.5000,0.1000,0.6500,15,0,1
1716.6720,1708.8229,1837.4607,1000,1050,240,240,1,6,0,10,10,7.8491,4.5000,0.1000,0.6500,15,0,1
1724.5015,1707.4173,1843.7384,1000,1050,240,240,1,6,0,10,10,17.0842,4.5000,0.1000,0.6500,15,0,1
1837.1616,1700.4761,1838.9969,1000,1050,240,240,1,6,1,10,10,-1.8353,4.5000,0.1000,0.6500,15,0,1
1675.6624,1695.4265,1827.0986,1000,1050,240,240,1,6,0,10,10,-19.7640,4.5000,0.1000,0.6500,15,0,1
1614.4236,1623.7408,1300.0423,1000,1050,240,240,0,3,0,10,10,-9.3171,3.5000,0.1000,0.6500,16,0,1
1615.9324,1613.1891,1308.6814,1000,1050,240,240,0,3,0,10,10,2.7433,3.5000,0.1000,0.6500,16,0,1
1595.9150,1600.9185,1320.9900,1000,1050,240,240,0,3,0,10,10,-5.0035,3.5000,0.1000,0.6500,16,0,1
1314.9939,1597.9178,1315.2781,1000,1050,240,240,0,3,1,10,10,-0.2842,3.5000,0.1000,0.6500,16,0,1
1572.7510,1581.5942,1306.6986,1000,1050,240,240,0,3,0,10,10,-8.8431,3.5000,0.1000,0.6500,16,0,1
1587.4928,1578.1999,1307.7201,1000,1050,240,240,0,3,0,10,10,9.2930,3.5000,0.1000,0.6500,16,0,1
1595.1846,1592.4433,1297.6274,1000,1050,240,240,0,3,0,10,10,2.7413,3.5000,0.1000,0.6500,16,0,1
1638.6828,1608.7309,1295.5717,1000,1050,240,240,0,3,0,10,10,29.9519,3.5000,0.1000,0.6500,16,0,1
1690.8690,1687.8945,1410.8011,1000,1050,240,240,0,4,0,10,10,2.9746,7.0000,0.1000,0.6500,17,0,1
1684.5579,1687.6515,1425.5683,1000,1050,240,240,0,4,0,10,10,-3.0935,7.0000,0.1000,0.6500,17,0,1
1695.8975,1680.5277,1414.2899,1000,1050,240,240,0,4,0,10,10,15.3698,7.0000,0.1000,0.6500,17,0,1
1679.1746,1681.8565,1393.2243,1000,1050,240,240,0,4,0,10,10,-2.6819,7.0000,0.1000,0.6500,17,0,1
1401.0470,1685.7296,1395.0168,1000,1050,240,240,0,4,1,10,10,6.0302,7.0000,0.1000,0.6500,17,0,1
1670.4527,1665.7283,1404.8521,1000,1050,240,240,0,4,0,10,10,4.7244,7.0000,0.1000,0.6500,17,0,1
1681.7069,1670.2666,1403.2191,1000,1050,240,240,0,4,0,10,10,11.4403,7.0000,0.1000,0.6500,17,0,1
1665.9948,1675.6495,1387.2396,1000,1050,240,240,0,4,0,10,10,-9.6547,7.0000,0.1000,0.6500,17,0,1
1634.3913,1630.5541,1500.9186,1000,1050,240,240,1,4,0,10,10,3.8372,4.0000,0.1000,0.6500,18,0,1
1620.0119,1616.7053,1506.9007,1000,1050,240,240,1,4,0,10,10,3.3066,4.0000,0.1000,0.6500,18,0,1
1622.0894,1621.0653,1502.4581,1000,1050,240,240,1,4,0,10,10,1.0241,4.0000,0.1000,0.6500,18,0,1
1643.9241,1630.4218,1484.1011,1000,1050,240,240,1,4,0,10,10,13.5023,4.0000,0.1000,0.6500,18,0,1
1481.6210,1615.5492,1493.4963,1000,1050,240,240,1,4,1,10,10,-11.8753,4.0000,0.1000,0.6500,18,0,1
