onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	confidence	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
69890.24122962501	5.35	0	69890.24122962501	5.342368915982661	0.38177787500899285	69903.591208	69895.583598541	69895.59122962502	69903.59122962502	69895.583679916	69903.584065791	8.0	984.02	l	60.0	0	4	0	2	120	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
69890.24122962501	5.35	0	69890.99122962501	5.342368915982661	0.38177787500899285	69903.591208	69895.583598541	69895.59122962502	69903.59122962502	69895.583679916	69903.584065791	8.0	980.98	l	60.0	0	4	0	2	120	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
69890.24122962501	5.35	0	69891.74122962501	5.342368915982661	0.38177787500899285	69903.591208	69895.583598541	69895.59122962502	69903.59122962502	69895.583679916	69903.584065791	8.0	954.67	l	60.0	0	4	0	2	120	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
69890.24122962501	5.35	0	69892.49122962501	5.342368915982661	0.38177787500899285	69903.591208	69895.583598541	69895.59122962502	69903.59122962502	69895.583679916	69903.584065791	8.0	967.52	l	60.0	0	4	0	2	120	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
69890.24122962501	5.35	1	69893.24122962501	5.342368915982661	0.38177787500899285	69903.591208	69895.583598541	69895.59122962502	69903.59122962502	69895.583679916	69903.584065791	8.0	1077.69	l	60.0	0	4	0	2	120	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
69890.24122962501	5.35	0	69893.99122962501	5.342368915982661	0.38177787500899285	69903.591208	69895.583598541	69895.59122962502	69903.59122962502	69895.583679916	69903.584065791	8.0	975.96	l	60.0	0	4	0	2	120	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
69890.24122962501	5.35	0	69894.74122962501	5.342368915982661	0.38177787500899285	69903.591208	69895.583598541	69895.59122962502	69903.59122962502	69895.583679916	69903.584065791	8.0	957.75	l	60.0	0	4	0	2	120	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
69890.24122962501	5.35	0	69895.49122962501	5.342368915982661	0.38177787500899285	69903.591208	69895.583598541	69895.59122962502	69903.59122962502	69895.583679916	69903.584065791	8.0	988.44	l	60.0	0	4	0	2	120	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
69903.603395458	5.35	0	69903.603395458	5.347086041991133	0.7845994579984108	69919.4533605	69908.9504815	69908.95339545801	69919.45339545801	69908.950571166	69919.450479958	10.5	976.12	y	62.0	0	4	1	2	121	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
69903.603395458	5.35	0	69904.353395458	5.347086041991133	0.7845994579984108	69919.4533605	69908.9504815	69908.95339545801	69919.45339545801	69908.950571166	69919.450479958	10.5	1002.24	y	62.0	0	4	1	2	121	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
69903.603395458	5.35	0	69905.103395458	5.347086041991133	0.7845994579984108	69919.4533605	69908.9504815	69908.95339545801	69919.45339545801	69908.950571166	69919.450479958	10.5	1002.97	y	62.0	0	4	1	2	121	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
69903.603395458	5.35	0	69905.853395458	5.347086041991133	0.7845994579984108	69919.4533605	69908.9504815	69908.95339545801	69919.45339545801	69908.950571166	69919.450479958	10.5	1003.59	y	62.0	0	4	1	2	121	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
