onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	confidence	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
68865.551933958	5.35	0	68865.551933958	5.349762124998961	0.4676050830021268	68880.90188475	68870.901696083	68870.90193395801	68880.90193395801	68870.901783416	68880.901593125	10.0	729.46	l	40.0	0	5	1	1	60	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68865.551933958	5.35	0	68866.301933958	5.349762124998961	0.4676050830021268	68880.90188475	68870.901696083	68870.90193395801	68880.90193395801	68870.901783416	68880.901593125	10.0	740.23	l	40.0	0	5	1	1	60	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68865.551933958	5.35	0	68867.051933958	5.349762124998961	0.4676050830021268	68880.90188475	68870.901696083	68870.90193395801	68880.90193395801	68870.901783416	68880.901593125	10.0	742.38	l	40.0	0	5	1	1	60	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68865.551933958	5.35	0	68867.801933958	5.349762124998961	0.4676050830021268	68880.90188475	68870.901696083	68870.90193395801	68880.90193395801	68870.901783416	68880.901593125	10.0	749.23	l	40.0	0	5	1	1	60	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68865.551933958	5.35	0	68868.551933958	5.349762124998961	0.4676050830021268	68880.90188475	68870.901696083	68870.90193395801	68880.90193395801	68870.901783416	68880.901593125	10.0	763.25	l	40.0	0	5	1	1	60	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68865.551933958	5.35	1	68869.301933958	5.349762124998961	0.4676050830021268	68880.90188475	68870.901696083	68870.90193395801	68880.90193395801	68870.901783416	68880.901593125	10.0	739.22	l	40.0	0	5	1	1	60	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68865.551933958	5.35	0	68870.051933958	5.349762124998961	0.4676050830021268	68880.90188475	68870.901696083	68870.90193395801	68880.90193395801	68870.901783416	68880.901593125	10.0	776.95	l	40.0	0	5	1	1	60	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68865.551933958	5.35	0	68870.801933958	5.349762124998961	0.4676050830021268	68880.90188475	68870.901696083	68870.90193395801	68880.90193395801	68870.901783416	68880.901593125	10.0	759.3	l	40.0	0	5	1	1	60	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68880.920947166	5.35	0	68880.920947166	5.347238500005915	0.40110491699306294	68896.7708945	68886.268185666	68886.270947166	68896.770947166	68886.268278083	68896.768109125	10.5	758.82	y	20.0	0	5	1	1	61	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68880.920947166	5.35	0	68881.670947166	5.347238500005915	0.40110491699306294	68896.7708945	68886.268185666	68886.270947166	68896.770947166	68886.268278083	68896.768109125	10.5	752.72	y	20.0	0	5	1	1	61	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68880.920947166	5.35	0	68882.420947166	5.347238500005915	0.40110491699306294	68896.7708945	68886.268185666	68886.270947166	68896.770947166	68886.268278083	68896.768109125	10.5	752.33	y	20.0	0	5	1	1	61	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68880.920947166	5.35	0	68883.170947166	5.347238500005915	0.40110491699306294	68896.7708945	68886.268185666	68886.270947166	68896.770947166	68886.268278083	68896.768109125	10.5	741.9	y	20.0	0	5	1	1	61	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68880.920947166	5.35	0	68883.920947166	5.347238500005915	0.40110491699306294	68896.7708945	68886.268185666	68886.270947166	68896.770947166	68886.268278083	68896.768109125	10.5	766.97	y	20.0	0	5	1	1	61	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
68880.920947166	5.35	1	68884.670947166	5.347238500005915	0.40110491699306294	68896.7708945	68886.268185666	68886.270947166	68896.770947166	68886.268278083	68896.768109125	10.5	772.48	y	20.0	0	5	1	1	61	40	700	750	68864.853522125	68865.018463333	68865.183515666	68865.363515666	68865.543432666
