onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
93479.36226133301	5.35	0	93479.36226133301	5.347555374988588		93487.714451583	93484.709816708	93484.71226133301	93487.71226133301	93484.709822333	93487.710461416	3.0	897.86		3	4	1	1	60	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93479.36226133301	5.35	0	93480.11226133301	5.347555374988588		93487.714451583	93484.709816708	93484.71226133301	93487.71226133301	93484.709822333	93487.710461416	3.0	894.1		3	4	1	1	60	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93479.36226133301	5.35	0	93480.86226133301	5.347555374988588		93487.714451583	93484.709816708	93484.71226133301	93487.71226133301	93484.709822333	93487.710461416	3.0	898.55		3	4	1	1	60	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93479.36226133301	5.35	0	93481.61226133301	5.347555374988588		93487.714451583	93484.709816708	93484.71226133301	93487.71226133301	93484.709822333	93487.710461416	3.0	883.07		3	4	1	1	60	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93479.36226133301	5.35	1	93482.36226133301	5.347555374988588		93487.714451583	93484.709816708	93484.71226133301	93487.71226133301	93484.709822333	93487.710461416	3.0	1012.97		3	4	1	1	60	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93479.36226133301	5.35	0	93483.11226133301	5.347555374988588		93487.714451583	93484.709816708	93484.71226133301	93487.71226133301	93484.709822333	93487.710461416	3.0	889.4		3	4	1	1	60	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93479.36226133301	5.35	0	93483.86226133301	5.347555374988588		93487.714451583	93484.709816708	93484.71226133301	93487.71226133301	93484.709822333	93487.710461416	3.0	880.04		3	4	1	1	60	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93479.36226133301	5.35	0	93484.61226133301	5.347555374988588		93487.714451583	93484.709816708	93484.71226133301	93487.71226133301	93484.709822333	93487.710461416	3.0	878.58		3	4	1	1	60	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93487.718826583	5.35	0	93487.718826583	5.3489774170011515		93496.068826208	93493.067804	93493.06882658301	93496.06882658301	93493.067813916	93496.068043458	3.0	875.97		3	6	1	1	61	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93487.718826583	5.35	0	93488.468826583	5.3489774170011515		93496.068826208	93493.067804	93493.06882658301	93496.06882658301	93493.067813916	93496.068043458	3.0	877.61		3	6	1	1	61	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93487.718826583	5.35	0	93489.218826583	5.3489774170011515		93496.068826208	93493.067804	93493.06882658301	93496.06882658301	93493.067813916	93496.068043458	3.0	871.17		3	6	1	1	61	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93487.718826583	5.35	0	93489.968826583	5.3489774170011515		93496.068826208	93493.067804	93493.06882658301	93496.06882658301	93493.067813916	93496.068043458	3.0	859.88		3	6	1	1	61	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93487.718826583	5.35	0	93490.718826583	5.3489774170011515		93496.068826208	93493.067804	93493.06882658301	93496.06882658301	93493.067813916	93496.068043458	3.0	858.09		3	6	1	1	61	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93487.718826583	5.35	0	93491.468826583	5.3489774170011515		93496.068826208	93493.067804	93493.06882658301	93496.06882658301	93493.067813916	93496.068043458	3.0	865.77		3	6	1	1	61	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93487.718826583	5.35	1	93492.218826583	5.3489774170011515		93496.068826208	93493.067804	93493.06882658301	93496.06882658301	93493.067813916	93496.068043458	3.0	1033.59		3	6	1	1	61	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93487.718826583	5.35	0	93492.968826583	5.3489774170011515		93496.068826208	93493.067804	93493.06882658301	93496.06882658301	93493.067813916	93496.068043458	3.0	859.69		3	6	1	1	61	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93496.07663870801	5.35	0	93496.07663870801	5.347905291986535		93505.426634875	93501.424544	93501.42663870801	93505.42663870801	93501.424550083	93505.425565875	4.0	865.49		3	5	1	1	62	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93496.07663870801	5.35	0	93496.82663870801	5.347905291986535		93505.426634875	93501.424544	93501.42663870801	93505.42663870801	93501.424550083	93505.425565875	4.0	852.93		3	5	1	1	62	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93496.07663870801	5.35	0	93497.57663870801	5.347905291986535		93505.426634875	93501.424544	93501.42663870801	93505.42663870801	93501.424550083	93505.425565875	4.0	838.53		3	5	1	1	62	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93496.07663870801	5.35	0	93498.32663870801	5.347905291986535		93505.426634875	93501.424544	93501.42663870801	93505.42663870801	93501.424550083	93505.425565875	4.0	840.11		3	5	1	1	62	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93496.07663870801	5.35	0	93499.07663870801	5.347905291986535		93505.426634875	93501.424544	93501.42663870801	93505.42663870801	93501.424550083	93505.425565875	4.0	841.21		3	5	1	1	62	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93496.07663870801	5.35	1	93499.82663870801	5.347905291986535		93505.426634875	93501.424544	93501.42663870801	93505.42663870801	93501.424550083	93505.425565875	4.0	1033.88		3	5	1	1	62	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93496.07663870801	5.35	0	93500.57663870801	5.347905291986535		93505.426634875	93501.424544	93501.42663870801	93505.42663870801	93501.424550083	93505.425565875	4.0	854.1		3	5	1	1	62	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93496.07663870801	5.35	0	93501.32663870801	5.347905291986535		93505.426634875	93501.424544	93501.42663870801	93505.42663870801	93501.424550083	93505.425565875	4.0	845.33		3	5	1	1	62	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93505.43319737501	5.35	0	93505.43319737501	5.347533915992244		93515.283191458	93510.780731291	93510.78319737501	93515.28319737501	93510.780737666	93515.281403958	4.5	835.74		3	4	1	1	63	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93505.43319737501	5.35	0	93506.18319737501	5.347533915992244		93515.283191458	93510.780731291	93510.78319737501	93515.28319737501	93510.780737666	93515.281403958	4.5	842.21		3	4	1	1	63	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93505.43319737501	5.35	0	93506.93319737501	5.347533915992244		93515.283191458	93510.780731291	93510.78319737501	93515.28319737501	93510.780737666	93515.281403958	4.5	831.86		3	4	1	1	63	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93505.43319737501	5.35	0	93507.68319737501	5.347533915992244		93515.283191458	93510.780731291	93510.78319737501	93515.28319737501	93510.780737666	93515.281403958	4.5	824.65		3	4	1	1	63	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93505.43319737501	5.35	1	93508.43319737501	5.347533915992244		93515.283191458	93510.780731291	93510.78319737501	93515.28319737501	93510.780737666	93515.281403958	4.5	1030.6		3	4	1	1	63	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93505.43319737501	5.35	0	93509.18319737501	5.347533915992244		93515.283191458	93510.780731291	93510.78319737501	93515.28319737501	93510.780737666	93515.281403958	4.5	843.62		3	4	1	1	63	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93505.43319737501	5.35	0	93509.93319737501	5.347533915992244		93515.283191458	93510.780731291	93510.78319737501	93515.28319737501	93510.780737666	93515.281403958	4.5	846.97		3	4	1	1	63	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93505.43319737501	5.35	0	93510.68319737501	5.347533915992244		93515.283191458	93510.780731291	93510.78319737501	93515.28319737501	93510.780737666	93515.281403958	4.5	852.1		3	4	1	1	63	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
