onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
94263.22189495801	5.35	0	94263.22189495801	5.349187541985884		94274.071887	94268.5710825	94268.57189495802	94274.07189495802	94268.571087958	94274.070064416	5.5	698.67		3	2	0	2	120	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94263.22189495801	5.35	0	94263.97189495801	5.349187541985884		94274.071887	94268.5710825	94268.57189495802	94274.07189495802	94268.571087958	94274.070064416	5.5	695.34		3	2	0	2	120	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94263.22189495801	5.35	1	94264.72189495801	5.349187541985884		94274.071887	94268.5710825	94268.57189495802	94274.07189495802	94268.571087958	94274.070064416	5.5	753.69		3	2	0	2	120	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94263.22189495801	5.35	0	94265.47189495801	5.349187541985884		94274.071887	94268.5710825	94268.57189495802	94274.07189495802	94268.571087958	94274.070064416	5.5	724.29		3	2	0	2	120	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94263.22189495801	5.35	0	94266.22189495801	5.349187541985884		94274.071887	94268.5710825	94268.57189495802	94274.07189495802	94268.571087958	94274.070064416	5.5	725.72		3	2	0	2	120	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94263.22189495801	5.35	0	94266.97189495801	5.349187541985884		94274.071887	94268.5710825	94268.57189495802	94274.07189495802	94268.571087958	94274.070064416	5.5	730.15		3	2	0	2	120	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94263.22189495801	5.35	0	94267.72189495801	5.349187541985884		94274.071887	94268.5710825	94268.57189495802	94274.07189495802	94268.571087958	94274.070064416	5.5	734.2		3	2	0	2	120	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94263.22189495801	5.35	0	94268.47189495801	5.349187541985884		94274.071887	94268.5710825	94268.57189495802	94274.07189495802	94268.571087958	94274.070064416	5.5	734.72		3	2	0	2	120	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94274.076887	5.35	0	94274.076887	5.346938165996107		94285.426874708	94279.423825166	94279.42688700001	94285.42688700001	94279.423831166	94285.425018041	6.0	747.12		3	4	0	2	121	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94274.076887	5.35	0	94274.826887	5.346938165996107		94285.426874708	94279.423825166	94279.42688700001	94285.42688700001	94279.423831166	94285.425018041	6.0	746.35		3	4	0	2	121	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94274.076887	5.35	0	94275.576887	5.346938165996107		94285.426874708	94279.423825166	94279.42688700001	94285.42688700001	94279.423831166	94285.425018041	6.0	742.35		3	4	0	2	121	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94274.076887	5.35	0	94276.326887	5.346938165996107		94285.426874708	94279.423825166	94279.42688700001	94285.42688700001	94279.423831166	94285.425018041	6.0	754.84		3	4	0	2	121	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94274.076887	5.35	1	94277.076887	5.346938165996107		94285.426874708	94279.423825166	94279.42688700001	94285.42688700001	94279.423831166	94285.425018041	6.0	729.58		3	4	0	2	121	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94274.076887	5.35	0	94277.826887	5.346938165996107		94285.426874708	94279.423825166	94279.42688700001	94285.42688700001	94279.423831166	94285.425018041	6.0	745.57		3	4	0	2	121	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
94274.076887	5.35	0	94278.576887	5.346938165996107		94285.426874708	94279.423825166	94279.42688700001	94285.42688700001	94279.423831166	94285.425018041	6.0	755.77		3	4	0	2	121	16	700	750	94262.400842166	94262.656494041	94262.836487333	94263.018463458	94263.2114915
