onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	confidence	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
24352.488510208335	5.35	0	24352.488510208335	5.349565707663714		24366.839003249337	24357.838075916	24357.838510208334	24366.838510208334	24357.838170583	24366.82496925	9.0	-0.67			3	5	1	0	0	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24352.488510208335	5.35	0	24353.238510208335	5.349565707663714		24366.839003249337	24357.838075916	24357.838510208334	24366.838510208334	24357.838170583	24366.82496925	9.0	-0.64			3	5	1	0	0	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24352.488510208335	5.35	0	24353.988510208335	5.349565707663714		24366.839003249337	24357.838075916	24357.838510208334	24366.838510208334	24357.838170583	24366.82496925	9.0	-0.65			3	5	1	0	0	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24352.488510208335	5.35	0	24354.738510208335	5.349565707663714		24366.839003249337	24357.838075916	24357.838510208334	24366.838510208334	24357.838170583	24366.82496925	9.0	-0.61			3	5	1	0	0	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24352.488510208335	5.35	0	24355.488510208335	5.349565707663714		24366.839003249337	24357.838075916	24357.838510208334	24366.838510208334	24357.838170583	24366.82496925	9.0	-0.64			3	5	1	0	0	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24352.488510208335	5.35	1	24356.238510208335	5.349565707663714		24366.839003249337	24357.838075916	24357.838510208334	24366.838510208334	24357.838170583	24366.82496925	9.0	-0.51			3	5	1	0	0	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24352.488510208335	5.35	0	24356.988510208335	5.349565707663714		24366.839003249337	24357.838075916	24357.838510208334	24366.838510208334	24357.838170583	24366.82496925	9.0	-0.64			3	5	1	0	0	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24352.488510208335	5.35	0	24357.738510208335	5.349565707663714		24366.839003249337	24357.838075916	24357.838510208334	24366.838510208334	24357.838170583	24366.82496925	9.0	-0.59			3	5	1	0	0	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24366.844940708335	5.35	0	24366.844940708335	5.347937999664282		24382.694840333337	24372.192878708	24372.194940708334	24382.694940708334	24372.192964875	24382.693223791	10.5	-0.54			3	4	1	0	1	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24366.844940708335	5.35	0	24367.594940708335	5.347937999664282		24382.694840333337	24372.192878708	24372.194940708334	24382.694940708334	24372.192964875	24382.693223791	10.5	-0.49			3	4	1	0	1	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24366.844940708335	5.35	0	24368.344940708335	5.347937999664282		24382.694840333337	24372.192878708	24372.194940708334	24382.694940708334	24372.192964875	24382.693223791	10.5	-0.42			3	4	1	0	1	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24366.844940708335	5.35	0	24369.094940708335	5.347937999664282		24382.694840333337	24372.192878708	24372.194940708334	24382.694940708334	24372.192964875	24382.693223791	10.5	-0.48			3	4	1	0	1	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24366.844940708335	5.35	1	24369.844940708335	5.347937999664282		24382.694840333337	24372.192878708	24372.194940708334	24382.694940708334	24372.192964875	24382.693223791	10.5	-0.41			3	4	1	0	1	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24366.844940708335	5.35	0	24370.594940708335	5.347937999664282		24382.694840333337	24372.192878708	24372.194940708334	24382.694940708334	24372.192964875	24382.693223791	10.5	-0.51			3	4	1	0	1	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
