observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
699.3200,712.7921,738.1718,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,0,0,2
723.5100,725.3858,738.1718,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,0,0,2
726.4600,715.9406,738.1718,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,0,0,2
726.5000,717.5005,738.1718,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,0,0,2
720.0000,728.6384,738.1718,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,0,0,2
733.9200,724.8047,738.1718,700,750,40,5,1,5,1,10,10,6.0000,0.1000,0.6500,0,0,2
727.8300,711.3772,738.1718,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,0,0,2
708.9900,710.5617,738.1718,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,0,0,2
713.4200,707.4588,727.1529,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,1,0,2
720.1400,713.2733,727.1529,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,1,0,2
721.5900,712.0605,727.1529,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,1,0,2
689.5300,695.4650,727.1529,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,1,0,2
692.1600,692.9514,727.1529,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,1,0,2
741.5200,691.3751,727.1529,700,750,40,5,1,5,1,10,10,6.0000,0.1000,0.6500,1,0,2
691.4700,682.1892,727.1529,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,1,0,2
696.0300,682.4391,727.1529,700,750,40,5,1,5,0,10,10,6.0000,0.1000,0.6500,1,0,2
682.9800,674.0475,749.2416,700,750,40,5,2,0,0,10,10,4.5000,0.1000,0.6500,2,0,2
685.7700,681.5590,749.2416,700,750,40,5,2,0,0,10,10,4.5000,0.1000,0.6500,2,0,2
681.6700,677.5745,749.2416,700,750,40,5,2,0,0,10,10,4.5000,0.1000,0.6500,2,0,2
690.3000,690.7840,749.2416,700,750,40,5,2,0,0,10,10,4.5000,0.1000,0.6500,2,0,2
721.7300,700.0218,749.2416,700,750,40,5,2,0,0,10,10,4.5000,0.1000,0.6500,2,0,2
709.6900,708.1974,749.2416,700,750,40,5,2,0,0,10,10,4.5000,0.1000,0.6500,2,0,2
693.9700,702.5021,749.2416,700,750,40,5,2,0,0,10,10,4.5000,0.1000,0.6500,2,0,2
708.8100,709.8070,749.2416,700,750,40,5,2,0,0,10,10,4.5000,0.1000,0.6500,2,0,2
705.3600,706.5993,750.6592,700,750,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,3,0,2
702.8200,711.9611,750.6592,700,750,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,3,0,2
736.4500,710.1671,750.6592,700,750,40,5,0,2,1,10,10,6.0000,0.1000,0.6500,3,0,2
703.6900,701.2601,750.6592,700,750,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,3,0,2
705.6400,698.9158,750.6592,700,750,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,3,0,2
702.3700,686.1695,750.6592,700,750,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,3,0,2
658.5400,671.3346,750.6592,700,750,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,3,0,2
669.2700,678.5181,750.6592,700,750,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,3,0,2
679.2500,670.4970,751.2863,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,4,0,2
684.0200,680.8574,751.2863,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,4,0,2
664.8400,677.8880,751.2863,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,4,0,2
677.7400,687.9378,751.2863,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,4,0,2
745.4400,684.6237,751.2863,700,750,40,5,0,4,1,10,10,4.0000,0.1000,0.6500,4,0,2
661.8200,678.4448,751.2863,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,4,0,2
677.9700,668.3218,751.2863,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,4,0,2
653.5900,647.1857,751.2863,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,4,0,2
661.2700,668.5272,746.7966,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,5,0,2
666.8000,667.4529,746.7966,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,5,0,2
695.0300,684.2385,746.7966,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,5,0,2
685.2500,688.8282,746.7966,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,5,0,2
753.4300,694.0476,746.7966,700,750,40,5,0,4,1,10,10,4.0000,0.1000,0.6500,5,0,2
689.4600,686.5435,746.7966,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,5,0,2
694.5600,698.5432,746.7966,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,5,0,2
722.1000,696.8661,746.7966,700,750,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,5,0,2
670.9800,684.4214,753.5727,700,750,40,5,0,2,0,10,10,7.5000,0.1000,0.6500,6,0,2
685.8800,693.3229,753.5727,700,750,40,5,0,2,0,10,10,7.5000,0.1000,0.6500,6,0,2
759.5000,691.3605,753.5727,700,750,40,5,0,2,1,10,10,7.5000,0.1000,0.6500,6,0,2
672.9500,695.6989,753.5727,700,750,40,5,0,2,0,10,10,7.5000,0.1000,0.6500,6,0,2
714.2600,703.2065,753.5727,700,750,40,5,0,2,0,10,10,7.5000,0.1000,0.6500,6,0,2
