observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
1210.8100,1190.5201,1058.8951,1000,1050,240,30,1,5,0,10,10,4.0000,0.1000,0.6500,0,0,1
1178.3300,1186.6724,1058.8951,1000,1050,240,30,1,5,0,10,10,4.0000,0.1000,0.6500,0,0,1
1161.1000,1180.1398,1058.8951,1000,1050,240,30,1,5,0,10,10,4.0000,0.1000,0.6500,0,0,1
1164.9100,1170.7068,1058.8951,1000,1050,240,30,1,5,0,10,10,4.0000,0.1000,0.6500,0,0,1
1158.2200,1168.1093,1058.8951,1000,1050,240,30,1,5,0,10,10,4.0000,0.1000,0.6500,0,0,1
1051.3800,1181.6837,1058.8951,1000,1050,240,30,1,5,1,10,10,4.0000,0.1000,0.6500,0,0,1
1176.9200,1191.2385,1058.8951,1000,1050,240,30,1,5,0,10,10,4.0000,0.1000,0.6500,0,0,1
1191.2400,1188.5000,1058.8951,1000,1050,240,30,1,5,0,10,10,4.0000,0.1000,0.6500,0,0,1
1182.6800,1191.0355,1057.7069,1000,1050,240,30,1,6,0,10,10,4.5000,0.1000,0.6500,1,0,1
1196.5400,1194.7052,1057.7069,1000,1050,240,30,1,6,0,10,10,4.5000,0.1000,0.6500,1,0,1
1183.4100,1192.2966,1057.7069,1000,1050,240,30,1,6,0,10,10,4.5000,0.1000,0.6500,1,0,1
1176.1400,1183.0470,1057.7069,1000,1050,240,30,1,6,0,10,10,4.5000,0.1000,0.6500,1,0,1
1184.1500,1176.8950,1057.7069,1000,1050,240,30,1,6,0,10,10,4.5000,0.1000,0.6500,1,0,1
1166.5400,1176.6420,1057.7069,1000,1050,240,30,1,6,0,10,10,4.5000,0.1000,0.6500,1,0,1
1059.6200,1171.2149,1057.7069,1000,1050,240,30,1,6,1,10,10,4.5000,0.1000,0.6500,1,0,1
1194.4600,1191.7374,1057.7069,1000,1050,240,30,1,6,0,10,10,4.5000,0.1000,0.6500,1,0,1
1166.6200,1177.0228,1040.2169,1000,1050,240,30,1,6,0,10,10,7.0000,0.1000,0.6500,2,0,1
1172.3000,1176.2359,1040.2169,1000,1050,240,30,1,6,0,10,10,7.0000,0.1000,0.6500,2,0,1
1158.6000,1156.6907,1040.2169,1000,1050,240,30,1,6,0,10,10,7.0000,0.1000,0.6500,2,0,1
