observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
1016.1500,1024.9125,1048.5778,1000,1050,40,5,0,4,0,10,10,3.0000,0.1000,0.6500,0,0,5
996.1500,1002.7311,1048.5778,1000,1050,40,5,0,4,0,10,10,3.0000,0.1000,0.6500,0,0,5
1015.9500,1029.0481,1048.5778,1000,1050,40,5,0,4,0,10,10,3.0000,0.1000,0.6500,0,0,5
1058.6200,1041.9285,1048.5778,1000,1050,40,5,0,4,0,10,10,3.0000,0.1000,0.6500,0,0,5
1038.2100,1032.7480,1048.5778,1000,1050,40,5,0,4,1,10,10,3.0000,0.1000,0.6500,0,0,5
1021.1000,1030.9935,1048.5778,1000,1050,40,5,0,4,0,10,10,3.0000,0.1000,0.6500,0,0,5
1050.8400,1051.9185,1048.5778,1000,1050,40,5,0,4,0,10,10,3.0000,0.1000,0.6500,0,0,5
1063.4900,1053.4950,1048.5778,1000,1050,40,5,0,4,0,10,10,3.0000,0.1000,0.6500,0,0,5
1057.5100,1049.9207,1033.8222,1000,1050,40,5,0,3,0,10,10,6.5000,0.1000,0.6500,1,0,5
1072.5200,1056.8253,1033.8222,1000,1050,40,5,0,3,0,10,10,6.5000,0.1000,0.6500,1,0,5
1043.4500,1044.9387,1033.8222,1000,1050,40,5,0,3,0,10,10,6.5000,0.1000,0.6500,1,0,5
1028.2400,1057.0894,1033.8222,1000,1050,40,5,0,3,1,10,10,6.5000,0.1000,0.6500,1,0,5
1042.7600,1052.0004,1033.8222,1000,1050,40,5,0,3,0,10,10,6.5000,0.1000,0.6500,1,0,5
1037.8300,1038.2062,1033.8222,1000,1050,40,5,0,3,0,10,10,6.5000,0.1000,0.6500,1,0,5
1051.1800,1055.9943,1033.8222,1000,1050,40,5,0,3,0,10,10,6.5000,0.1000,0.6500,1,0,5
1033.5100,1033.6908,1033.8222,1000,1050,40,5,0,3,0,10,10,6.5000,0.1000,0.6500,1,0,5
1002.5500,1013.3340,1045.4401,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,2,0,5
1006.0800,1009.5521,1045.4401,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,2,0,5
1002.3300,1006.0087,1045.4401,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,2,0,5
1061.7400,1012.1223,1045.4401,1000,1050,40,5,0,3,1,10,10,4.0000,0.1000,0.6500,2,0,5
1027.8500,1016.4651,1045.4401,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,2,0,5
1019.7800,1021.9906,1045.4401,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,2,0,5
1039.2500,1024.8418,1045.4401,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,2,0,5
1021.4400,1017.9589,1045.4401,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,2,0,5
994.9000,1001.3722,1064.5260,1000,1050,40,5,0,2,0,10,10,6.5000,0.1000,0.6500,3,0,5
1020.5600,1011.8139,1064.5260,1000,1050,40,5,0,2,0,10,10,6.5000,0.1000,0.6500,3,0,5
1075.2300,998.9327,1064.5260,1000,1050,40,5,0,2,1,10,10,6.5000,0.1000,0.6500,3,0,5
1016.3100,1007.6601,1064.5260,1000,1050,40,5,0,2,0,10,10,6.5000,0.1000,0.6500,3,0,5
1015.6500,1012.7566,1064.5260,1000,1050,40,5,0,2,0,10,10,6.5000,0.1000,0.6500,3,0,5
1033.5400,1022.2152,1064.5260,1000,1050,40,5,0,2,0,10,10,6.5000,0.1000,0.6500,3,0,5
1023.8200,1028.6232,1064.5260,1000,1050,40,5,0,2,0,10,10,6.5000,0.1000,0.6500,3,0,5
1012.6100,1030.7441,1064.5260,1000,1050,40,5,0,2,0,10,10,6.5000,0.1000,0.6500,3,0,5
