observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
678.6300,683.9224,787.3270,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,0,0,3
680.1600,677.5076,787.3270,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,0,0,3
659.1600,675.4143,787.3270,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,0,0,3
701.1900,686.1308,787.3270,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,0,0,3
657.2000,675.5871,787.3270,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,0,0,3
685.2500,691.6294,787.3270,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,0,0,3
782.8100,687.8383,787.3270,700,750,240,30,1,6,1,10,10,5.5000,0.1000,0.6500,0,0,3
693.8600,694.0700,787.3270,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,0,0,3
705.7700,698.1771,783.6191,700,750,240,30,1,5,0,10,10,3.0000,0.1000,0.6500,1,0,3
709.5100,703.7444,783.6191,700,750,240,30,1,5,0,10,10,3.0000,0.1000,0.6500,1,0,3
707.4700,719.2777,783.6191,700,750,240,30,1,5,0,10,10,3.0000,0.1000,0.6500,1,0,3
721.9200,724.3354,783.6191,700,750,240,30,1,5,0,10,10,3.0000,0.1000,0.6500,1,0,3
718.7600,718.2820,783.6191,700,750,240,30,1,5,0,10,10,3.0000,0.1000,0.6500,1,0,3
782.2200,703.7518,783.6191,700,750,240,30,1,5,1,10,10,3.0000,0.1000,0.6500,1,0,3
692.7300,704.3005,783.6191,700,750,240,30,1,5,0,10,10,3.0000,0.1000,0.6500,1,0,3
707.3400,712.6918,783.6191,700,750,240,30,1,5,0,10,10,3.0000,0.1000,0.6500,1,0,3
706.9400,711.6142,783.4670,700,750,240,30,1,4,0,10,10,3.0000,0.1000,0.6500,2,0,3
728.8800,721.8032,783.4670,700,750,240,30,1,4,0,10,10,3.0000,0.1000,0.6500,2,0,3
739.0600,735.5895,783.4670,700,750,240,30,1,4,0,10,10,3.0000,0.1000,0.6500,2,0,3
745.8900,746.4133,783.4670,700,750,240,30,1,4,0,10,10,3.0000,0.1000,0.6500,2,0,3
786.5700,733.1724,783.4670,700,750,240,30,1,4,1,10,10,3.0000,0.1000,0.6500,2,0,3
744.3600,741.8638,783.4670,700,750,240,30,1,4,0,10,10,3.0000,0.1000,0.6500,2,0,3
747.7400,747.0453,783.4670,700,750,240,30,1,4,0,10,10,3.0000,0.1000,0.6500,2,0,3
730.8700,736.2088,783.4670,700,750,240,30,1,4,0,10,10,3.0000,0.1000,0.6500,2,0,3
737.5500,742.1763,780.7080,700,750,240,30,0,4,0,10,10,4.0000,0.1000,0.6500,3,0,3
747.7800,744.6855,780.7080,700,750,240,30,0,4,0,10,10,4.0000,0.1000,0.6500,3,0,3
