observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,noise_w_std_t_minus_one,noise_w_dev_t_minus_one,ITI,duration_tones,ISI,trial_n,run_n,session_n
1228.8649,1224.9828,1012.0028,1000,1050,160,20,0,2,0,10,10,3.8821,,,10.5000,0.1000,0.6500,0,0,4
1195.5070,1206.7746,1012.0028,1000,1050,160,20,0,2,0,10,10,-11.2675,-16.8021,,10.5000,0.1000,0.6500,0,0,4
1025.6503,1201.3988,1012.0028,1000,1050,160,20,0,2,1,10,10,13.6475,-4.0834,,10.5000,0.1000,0.6500,0,0,4
1186.2383,1187.4338,1012.0028,1000,1050,160,20,0,2,0,10,10,-1.1955,-12.7063,,10.5000,0.1000,0.6500,0,0,4
1188.1044,1188.6384,1012.0028,1000,1050,160,20,0,2,0,10,10,-0.5340,2.3761,,10.5000,0.1000,0.6500,0,0,4
1164.1117,1165.2281,1012.0028,1000,1050,160,20,0,2,0,10,10,-1.1164,-22.2313,,10.5000,0.1000,0.6500,0,0,4
1176.1850,1184.7737,1012.0028,1000,1050,160,20,0,2,0,10,10,-8.5888,20.5783,,10.5000,0.1000,0.6500,0,0,4
1199.6649,1190.6105,1012.0028,1000,1050,160,20,0,2,0,10,10,9.0543,6.9916,,10.5000,0.1000,0.6500,0,0,4
1187.3414,1182.7057,998.8594,1000,1050,160,20,2,0,0,10,10,4.6357,-6.7135,-15.0433,10.0000,0.1000,0.6500,1,0,4
1203.6918,1200.1413,998.8594,1000,1050,160,20,2,0,0,10,10,3.5505,18.5776,-15.0433,10.0000,0.1000,0.6500,1,0,4
1197.6168,1193.3892,998.8594,1000,1050,160,20,2,0,0,10,10,4.2277,-5.5013,-15.0433,10.0000,0.1000,0.6500,1,0,4
1201.6811,1197.2825,998.8594,1000,1050,160,20,2,0,0,10,10,4.3986,5.1020,-15.0433,10.0000,0.1000,0.6500,1,0,4
1176.6717,1194.4963,998.8594,1000,1050,160,20,2,0,0,10,10,-17.8247,-1.5531,-15.0433,10.0000,0.1000,0.6500,1,0,4
1197.6519,1192.1311,998.8594,1000,1050,160,20,2,0,0,10,10,5.5208,-1.1496,-15.0433,10.0000,0.1000,0.6500,1,0,4
1186.6319,1188.2782,998.8594,1000,1050,160,20,2,0,0,10,10,-1.6462,-2.6521,-15.0433,10.0000,0.1000,0.6500,1,0,4
1189.5655,1194.3863,998.8594,1000,1050,160,20,2,0,0,10,10,-4.8208,7.2849,-15.0433,10.0000,0.1000,0.6500,1,0,4
1157.2713,1168.0072,983.9915,1000,1050,160,20,0,4,0,10,10,-10.7359,-25.1642,-17.4249,7.5000,0.1000,0.6500,2,0,4
1168.5245,1168.9399,983.9915,1000,1050,160,20,0,4,0,10,10,-0.4154,1.9828,-17.4249,7.5000,0.1000,0.6500,2,0,4
1173.3934,1176.0071,983.9915,1000,1050,160,20,0,4,0,10,10,-2.6136,8.1230,-17.4249,7.5000,0.1000,0.6500,2,0,4
1208.4279,1200.3250,983.9915,1000,1050,160,20,0,4,0,10,10,8.1029,25.4180,-17.4249,7.5000,0.1000,0.6500,2,0,4
983.0897,1202.6480,983.9915,1000,1050,160,20,0,4,1,10,10,-0.9018,3.5750,-17.4249,7.5000,0.1000,0.6500,2,0,4
1183.6122,1192.9438,983.9915,1000,1050,160,20,0,4,0,10,10,-9.3316,-8.4377,-17.4249,7.5000,0.1000,0.6500,2,0,4
1183.6940,1197.7650,983.9915,1000,1050,160,20,0,4,0,10,10,-14.0710,6.0271,-17.4249,7.5000,0.1000,0.6500,2,0,4
1176.8286,1186.4361,983.9915,1000,1050,160,20,0,4,0,10,10,-9.6075,-10.0928,-17.4249,7.5000,0.1000,0.6500,2,0,4
1188.3662,1175.6520,990.2856,1000,1050,160,20,0,3,0,10,10,12.7141,-9.6188,2.9937,7.5000,0.1000,0.6500,3,0,4
1175.1177,1169.6211,990.2856,1000,1050,160,20,0,3,0,10,10,5.4966,-4.9332,2.9937,7.5000,0.1000,0.6500,3,0,4
1177.6787,1167.7379,990.2856,1000,1050,160,20,0,3,0,10,10,9.9407,-0.8230,2.9937,7.5000,0.1000,0.6500,3,0,4
970.4470,1165.9466,990.2856,1000,1050,160,20,0,3,1,10,10,-19.8386,-0.7429,2.9937,7.5000,0.1000,0.6500,3,0,4
1175.6496,1164.9025,990.2856,1000,1050,160,20,0,3,0,10,10,10.7471,-0.0069,2.9937,7.5000,0.1000,0.6500,3,0,4
1156.3383,1153.2924,990.2856,1000,1050,160,20,0,3,0,10,10,3.0459,-10.5795,2.9937,7.5000,0.1000,0.6500,3,0,4
1151.3346,1150.5548,990.2856,1000,1050,160,20,0,3,0,10,10,0.7798,-1.7795,2.9937,7.5000,0.1000,0.6500,3,0,4
1155.3465,1156.1197,990.2856,1000,1050,160,20,0,3,0,10,10,-0.7732,6.5059,2.9937,7.5000,0.1000,0.6500,3,0,4
1170.5896,1164.6636,980.0812,1000,1050,160,20,0,2,0,10,10,5.9260,9.5196,-13.1901,11.0000,0.1000,0.6500,4,0,4
1152.6505,1152.0837,980.0812,1000,1050,160,20,0,2,0,10,10,0.5668,-11.5508,-13.1901,11.0000,0.1000,0.6500,4,0,4
977.6333,1148.0733,980.0812,1000,1050,160,20,0,2,1,10,10,-2.4479,-3.0599,-13.1901,11.0000,0.1000,0.6500,4,0,4
1134.2583,1139.8999,980.0812,1000,1050,160,20,0,2,0,10,10,-5.6416,-7.2479,-13.1901,11.0000,0.1000,0.6500,4,0,4
1104.0991,1122.7985,980.0812,1000,1050,160,20,0,2,0,10,10,-18.6994,-16.2270,-13.1901,11.0000,0.1000,0.6500,4,0,4
1153.6597,1132.5258,980.0812,1000,1050,160,20,0,2,0,10,10,21.1338,10.4948,-13.1901,11.0000,0.1000,0.6500,4,0,4
1127.6332,1131.6889,980.0812,1000,1050,160,20,0,2,0,10,10,-4.0557,-0.0086,-13.1901,11.0000,0.1000,0.6500,4,0,4
1152.8825,1148.2126,980.0812,1000,1050,160,20,0,2,0,10,10,4.6698,17.3468,-13.1901,11.0000,0.1000,0.6500,4,0,4
1160.7372,1156.0175,1000.3188,1000,1050,160,20,2,0,0,10,10,4.7197,8.7311,16.7417,9.0000,0.1000,0.6500,5,0,4
1159.0232,1167.8189,1000.3188,1000,1050,160,20,2,0,0,10,10,-8.7957,12.7765,16.7417,9.0000,0.1000,0.6500,5,0,4
1160.3664,1158.7201,1000.3188,1000,1050,160,20,2,0,0,10,10,1.6463,-8.0499,16.7417,9.0000,0.1000,0.6500,5,0,4
1164.4501,1159.4972,1000.3188,1000,1050,160,20,2,0,0,10,10,4.9528,1.7692,16.7417,9.0000,0.1000,0.6500,5,0,4
1137.0849,1157.4243,1000.3188,1000,1050,160,20,2,0,0,10,10,-20.3394,-1.0761,16.7417,9.0000,0.1000,0.6500,5,0,4
1150.5464,1162.1936,1000.3188,1000,1050,160,20,2,0,0,10,10,-11.6471,5.7532,16.7417,9.0000,0.1000,0.6500,5,0,4
1152.0172,1171.0137,1000.3188,1000,1050,160,20,2,0,0,10,10,-18.9965,9.8338,16.7417,9.0000,0.1000,0.6500,5,0,4
1148.8113,1149.6178,1000.3188,1000,1050,160,20,2,0,0,10,10,-0.8065,-20.3270,16.7417,9.0000,0.1000,0.6500,5,0,4
1139.0245,1149.2472,1006.9636,1000,1050,160,20,1,5,0,10,10,-10.2226,0.5645,4.1607,7.0000,0.1000,0.6500,6,0,4
1146.4843,1157.8257,1006.9636,1000,1050,160,20,1,5,0,10,10,-11.3414,9.5113,4.1607,7.0000,0.1000,0.6500,6,0,4
1151.8632,1148.0517,1006.9636,1000,1050,160,20,1,5,0,10,10,3.8115,-8.7876,4.1607,7.0000,0.1000,0.6500,6,0,4
1163.5612,1156.6166,1006.9636,1000,1050,160,20,1,5,0,10,10,6.9446,9.4902,4.1607,7.0000,0.1000,0.6500,6,0,4
1145.8284,1157.9223,1006.9636,1000,1050,160,20,1,5,0,10,10,-12.0940,2.2846,4.1607,7.0000,0.1000,0.6500,6,0,4
1011.5238,1148.3159,1006.9636,1000,1050,160,20,1,5,1,10,10,4.5602,-8.6194,4.1607,7.0000,0.1000,0.6500,6,0,4
1156.8233,1151.5311,1006.9636,1000,1050,160,20,1,5,0,10,10,5.2922,4.1421,4.1607,7.0000,0.1000,0.6500,6,0,4
1160.4854,1151.2510,1006.9636,1000,1050,160,20,1,5,0,10,10,9.2344,0.6670,4.1607,7.0000,0.1000,0.6500,6,0,4
1151.1593,1160.2222,1008.9389,1000,1050,160,20,1,4,0,10,10,-9.0628,9.9165,-0.1765,9.5000,0.1000,0.6500,7,0,4
1158.6056,1163.2471,1008.9389,1000,1050,160,20,1,4,0,10,10,-4.6415,4.0264,-0.1765,9.5000,0.1000,0.6500,7,0,4
1170.4869,1165.7730,1008.9389,1000,1050,160,20,1,4,0,10,10,4.7140,3.5461,-0.1765,9.5000,0.1000,0.6500,7,0,4
1157.6220,1160.3216,1008.9389,1000,1050,160,20,1,4,0,10,10,-2.6997,-4.4152,-0.1765,9.5000,0.1000,0.6500,7,0,4
1004.2508,1166.5642,1008.9389,1000,1050,160,20,1,4,1,10,10,-4.6881,7.2445,-0.1765,9.5000,0.1000,0.6500,7,0,4
1153.2589,1164.6527,1008.9389,1000,1050,160,20,1,4,0,10,10,-11.3938,-0.8705,-0.1765,9.5000,0.1000,0.6500,7,0,4
1174.5573,1163.5945,1008.9389,1000,1050,160,20,1,4,0,10,10,10.9628,-0.0290,-0.1765,9.5000,0.1000,0.6500,7,0,4
1159.7551,1154.8200,1008.9389,1000,1050,160,20,1,4,0,10,10,4.9351,-7.7521,-0.1765,9.5000,0.1000,0.6500,7,0,4
1148.9552,1168.6089,1011.0087,1000,1050,160,20,1,4,0,10,10,-19.6537,14.7565,0.0167,8.5000,0.1000,0.6500,8,0,4
1164.2201,1158.5231,1011.0087,1000,1050,160,20,1,4,0,10,10,5.6970,-9.0320,0.0167,8.5000,0.1000,0.6500,8,0,4
1179.2847,1189.6722,1011.0087,1000,1050,160,20,1,4,0,10,10,-10.3875,32.1399,0.0167,8.5000,0.1000,0.6500,8,0,4
1179.3768,1180.1445,1011.0087,1000,1050,160,20,1,4,0,10,10,-0.7677,-8.3422,0.0167,8.5000,0.1000,0.6500,8,0,4
1018.4206,1179.6234,1011.0087,1000,1050,160,20,1,4,1,10,10,7.4119,0.6048,0.0167,8.5000,0.1000,0.6500,8,0,4
1182.2029,1184.7774,1011.0087,1000,1050,160,20,1,4,0,10,10,-2.5745,6.2766,0.0167,8.5000,0.1000,0.6500,8,0,4
1172.4399,1181.7370,1011.0087,1000,1050,160,20,1,4,0,10,10,-9.2971,-1.8856,0.0167,8.5000,0.1000,0.6500,8,0,4
1191.9900,1197.4480,1011.0087,1000,1050,160,20,1,4,0,10,10,-5.4580,16.8469,0.0167,8.5000,0.1000,0.6500,8,0,4
1180.6333,1191.0004,1025.7337,1000,1050,160,20,1,4,0,10,10,-10.3672,-5.2135,12.7754,11.5000,0.1000,0.6500,9,0,4
1204.2015,1201.3784,1025.7337,1000,1050,160,20,1,4,0,10,10,2.8231,11.5718,12.7754,11.5000,0.1000,0.6500,9,0,4
1201.8923,1209.1899,1025.7337,1000,1050,160,20,1,4,0,10,10,-7.2976,9.0701,12.7754,11.5000,0.1000,0.6500,9,0,4
1199.6071,1210.0651,1025.7337,1000,1050,160,20,1,4,0,10,10,-10.4581,2.1826,12.7754,11.5000,0.1000,0.6500,9,0,4
1009.8270,1199.1836,1025.7337,1000,1050,160,20,1,4,1,10,10,-15.9067,-9.5686,12.7754,11.5000,0.1000,0.6500,9,0,4
1184.2663,1186.1936,1025.7337,1000,1050,160,20,1,4,0,10,10,-1.9272,-11.7452,12.7754,11.5000,0.1000,0.6500,9,0,4
1184.4220,1177.3949,1025.7337,1000,1050,160,20,1,4,0,10,10,7.0271,-7.6350,12.7754,11.5000,0.1000,0.6500,9,0,4
1185.1594,1188.7896,1025.7337,1000,1050,160,20,1,4,0,10,10,-3.6302,12.5035,12.7754,11.5000,0.1000,0.6500,9,0,4
1179.3232,1195.5012,1024.2069,1000,1050,160,20,1,4,0,10,10,-16.1781,7.8915,-2.7400,7.5000,0.1000,0.6500,10,0,4
1190.1986,1192.3593,1024.2069,1000,1050,160,20,1,4,0,10,10,-2.1607,-1.9200,-2.7400,7.5000,0.1000,0.6500,10,0,4
1204.0004,1189.1754,1024.2069,1000,1050,160,20,1,4,0,10,10,14.8250,-1.9817,-2.7400,7.5000,0.1000,0.6500,10,0,4
1156.1953,1171.4379,1024.2069,1000,1050,160,20,1,4,0,10,10,-15.2426,-16.5552,-2.7400,7.5000,0.1000,0.6500,10,0,4
1033.1978,1157.9045,1024.2069,1000,1050,160,20,1,4,1,10,10,8.9909,-12.4619,-2.7400,7.5000,0.1000,0.6500,10,0,4
1138.2804,1148.0366,1024.2069,1000,1050,160,20,1,4,0,10,10,-9.7561,-8.8810,-2.7400,7.5000,0.1000,0.6500,10,0,4
1159.5205,1145.6909,1024.2069,1000,1050,160,20,1,4,0,10,10,13.8296,-1.4205,-2.7400,7.5000,0.1000,0.6500,10,0,4
1145.4041,1143.5917,1024.2069,1000,1050,160,20,1,4,0,10,10,1.8124,-1.1886,-2.7400,7.5000,0.1000,0.6500,10,0,4
1145.0990,1147.5619,1036.3727,1000,1050,160,20,1,5,0,10,10,-2.4629,4.8677,10.8761,7.0000,0.1000,0.6500,11,0,4
1146.6507,1145.4131,1036.3727,1000,1050,160,20,1,5,0,10,10,1.2376,-1.2265,10.8761,7.0000,0.1000,0.6500,11,0,4
1141.6504,1134.7084,1036.3727,1000,1050,160,20,1,5,0,10,10,6.9420,-9.7959,10.8761,7.0000,0.1000,0.6500,11,0,4
1145.0855,1148.7279,1036.3727,1000,1050,160,20,1,5,0,10,10,-3.6424,14.8615,10.8761,7.0000,0.1000,0.6500,11,0,4
1156.6468,1157.7073,1036.3727,1000,1050,160,20,1,5,0,10,10,-1.0606,9.9090,10.8761,7.0000,0.1000,0.6500,11,0,4
1038.4325,1169.5289,1036.3727,1000,1050,160,20,1,5,1,10,10,2.0599,12.8072,10.8761,7.0000,0.1000,0.6500,11,0,4
1155.4526,1151.2399,1036.3727,1000,1050,160,20,1,5,0,10,10,4.2126,-17.2294,10.8761,7.0000,0.1000,0.6500,11,0,4
1184.9522,1165.5521,1036.3727,1000,1050,160,20,1,5,0,10,10,19.4001,15.2575,10.8761,7.0000,0.1000,0.6500,11,0,4
1151.9960,1163.8336,1021.1932,1000,1050,160,20,1,5,0,10,10,-11.8376,-0.6839,-15.8608,9.5000,0.1000,0.6500,12,0,4
1160.2253,1161.2320,1021.1932,1000,1050,160,20,1,5,0,10,10,-1.0066,-1.5776,-15.8608,9.5000,0.1000,0.6500,12,0,4
1166.8018,1169.7092,1021.1932,1000,1050,160,20,1,5,0,10,10,-2.9074,9.4849,-15.8608,9.5000,0.1000,0.6500,12,0,4
1153.7734,1168.0539,1021.1932,1000,1050,160,20,1,5,0,10,10,-14.2805,-0.5946,-15.8608,9.5000,0.1000,0.6500,12,0,4
1163.9576,1171.2750,1021.1932,1000,1050,160,20,1,5,0,10,10,-7.3174,4.2715,-15.8608,9.5000,0.1000,0.6500,12,0,4
1021.8332,1182.9576,1021.1932,1000,1050,160,20,1,5,1,10,10,0.6400,12.7531,-15.8608,9.5000,0.1000,0.6500,12,0,4
1196.2181,1191.3147,1021.1932,1000,1050,160,20,1,5,0,10,10,4.9034,9.5006,-15.8608,9.5000,0.1000,0.6500,12,0,4
1182.1637,1175.5270,1021.1932,1000,1050,160,20,1,5,0,10,10,6.6367,-14.5920,-15.8608,9.5000,0.1000,0.6500,12,0,4
1182.3111,1178.4280,1027.0040,1000,1050,160,20,1,4,0,10,10,3.8830,3.9980,4.3704,7.0000,0.1000,0.6500,13,0,4
1183.2704,1178.4523,1027.0040,1000,1050,160,20,1,4,0,10,10,4.8181,1.1394,4.3704,7.0000,0.1000,0.6500,13,0,4
1182.4865,1177.1390,1027.0040,1000,1050,160,20,1,4,0,10,10,5.3475,-0.1980,4.3704,7.0000,0.1000,0.6500,13,0,4
1163.8475,1177.7034,1027.0040,1000,1050,160,20,1,4,0,10,10,-13.8559,1.6715,4.3704,7.0000,0.1000,0.6500,13,0,4
1043.0148,1193.2286,1027.0040,1000,1050,160,20,1,4,1,10,10,16.0108,16.6358,4.3704,7.0000,0.1000,0.6500,13,0,4
1204.3873,1200.4043,1027.0040,1000,1050,160,20,1,4,0,10,10,3.9830,8.3834,4.3704,7.0000,0.1000,0.6500,13,0,4
1191.2999,1204.4762,1027.0040,1000,1050,160,20,1,4,0,10,10,-13.1763,5.3244,4.3704,7.0000,0.1000,0.6500,13,0,4
1205.9368,1191.0406,1027.0040,1000,1050,160,20,1,4,0,10,10,14.8962,-12.1576,4.3704,7.0000,0.1000,0.6500,13,0,4
1193.6238,1189.9244,1020.9652,1000,1050,160,20,1,4,0,10,10,3.6994,0.0779,-7.1886,10.0000,0.1000,0.6500,14,0,4
1202.6759,1194.2848,1020.9652,1000,1050,160,20,1,4,0,10,10,8.3911,5.5474,-7.1886,10.0000,0.1000,0.6500,14,0,4
1190.7588,1200.8509,1020.9652,1000,1050,160,20,1,4,0,10,10,-10.0921,7.7804,-7.1886,10.0000,0.1000,0.6500,14,0,4
1185.2100,1184.6889,1020.9652,1000,1050,160,20,1,4,0,10,10,0.5211,-14.9067,-7.1886,10.0000,0.1000,0.6500,14,0,4
1026.0401,1184.8754,1020.9652,1000,1050,160,20,1,4,1,10,10,5.0749,1.3409,-7.1886,10.0000,0.1000,0.6500,14,0,4
1156.6015,1172.2561,1020.9652,1000,1050,160,20,1,4,0,10,10,-15.6546,-11.4638,-7.1886,10.0000,0.1000,0.6500,14,0,4
1175.8538,1182.1008,1020.9652,1000,1050,160,20,1,4,0,10,10,-6.2470,10.9213,-7.1886,10.0000,0.1000,0.6500,14,0,4
