observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,noise_w_std_t_minus_one,noise_w_dev_t_minus_one,ITI,duration_tones,ISI,trial_n,run_n,session_n
1083.8148,1092.7225,1055.3241,1000,1050,240,30,0,4,0,10,10,-8.9077,,,8.5000,0.1000,0.6500,0,0,1
1097.6504,1088.7110,1055.3241,1000,1050,240,30,0,4,0,10,10,8.9394,-3.6251,,8.5000,0.1000,0.6500,0,0,1
1088.2103,1095.8403,1055.3241,1000,1050,240,30,0,4,0,10,10,-7.6300,7.4989,,8.5000,0.1000,0.6500,0,0,1
1098.0366,1089.9585,1055.3241,1000,1050,240,30,0,4,0,10,10,8.0781,-5.4825,,8.5000,0.1000,0.6500,0,0,1
1032.3989,1078.3056,1055.3241,1000,1050,240,30,0,4,1,10,10,-22.9252,-11.2781,,8.5000,0.1000,0.6500,0,0,1
1078.5542,1071.6918,1055.3241,1000,1050,240,30,0,4,0,10,10,6.8624,-6.2876,,8.5000,0.1000,0.6500,0,0,1
1095.3283,1088.4041,1055.3241,1000,1050,240,30,0,4,0,10,10,6.9242,17.0110,,8.5000,0.1000,0.6500,0,0,1
1094.7771,1087.8355,1055.3241,1000,1050,240,30,0,4,0,10,10,6.9416,-0.2002,,8.5000,0.1000,0.6500,0,0,1
1102.0799,1101.4164,1043.7469,1000,1050,240,30,0,2,0,10,10,0.6636,13.9468,-11.3997,11.0000,0.1000,0.6500,1,0,1
1115.7457,1119.1963,1043.7469,1000,1050,240,30,0,2,0,10,10,-3.4506,18.2025,-11.3997,11.0000,0.1000,0.6500,1,0,1
1051.8818,1123.3003,1043.7469,1000,1050,240,30,0,2,1,10,10,8.1350,4.6006,-11.3997,11.0000,0.1000,0.6500,1,0,1
1130.1601,1127.3073,1043.7469,1000,1050,240,30,0,2,0,10,10,2.8528,4.5207,-11.3997,11.0000,0.1000,0.6500,1,0,1
1104.9400,1119.6795,1043.7469,1000,1050,240,30,0,2,0,10,10,-14.7395,-7.0973,-11.3997,11.0000,0.1000,0.6500,1,0,1
1151.7095,1139.0155,1043.7469,1000,1050,240,30,0,2,0,10,10,12.6940,19.8347,-11.3997,11.0000,0.1000,0.6500,1,0,1
1164.2233,1139.6036,1043.7469,1000,1050,240,30,0,2,0,10,10,24.6197,1.1674,-11.3997,11.0000,0.1000,0.6500,1,0,1
1151.1526,1130.4569,1043.7469,1000,1050,240,30,0,2,0,10,10,20.6957,-8.5650,-11.3997,11.0000,0.1000,0.6500,1,0,1
1152.5930,1142.7990,1042.3514,1000,1050,240,30,0,2,0,10,10,9.7941,12.8856,-1.6039,9.0000,0.1000,0.6500,2,0,1
1147.1007,1153.9473,1042.3514,1000,1050,240,30,0,2,0,10,10,-6.8466,11.7433,-1.6039,9.0000,0.1000,0.6500,2,0,1
1021.6338,1167.7876,1042.3514,1000,1050,240,30,0,2,1,10,10,-20.7175,14.4817,-1.6039,9.0000,0.1000,0.6500,2,0,1
1162.7621,1172.6587,1042.3514,1000,1050,240,30,0,2,0,10,10,-9.8966,5.5703,-1.6039,9.0000,0.1000,0.6500,2,0,1
1165.8711,1173.3877,1042.3514,1000,1050,240,30,0,2,0,10,10,-7.5166,1.4483,-1.6039,9.0000,0.1000,0.6500,2,0,1
