observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,noise_w_std_t_minus_one,noise_w_dev_t_minus_one,ITI,duration_tones,ISI,trial_n,run_n,session_n
794.9077,798.6145,829.5233,700,750,240,30,1,5,0,10,10,-3.7068,,,8.0000,0.1000,0.6500,0,0,3
802.6250,790.8233,829.5233,700,750,240,30,1,5,0,10,10,11.8017,-7.3803,,8.0000,0.1000,0.6500,0,0,3
800.4913,791.8440,829.5233,700,750,240,30,1,5,0,10,10,8.6473,1.3992,,8.0000,0.1000,0.6500,0,0,3
783.9837,779.0515,829.5233,700,750,240,30,1,5,0,10,10,4.9322,-12.4098,,8.0000,0.1000,0.6500,0,0,3
788.8286,779.6613,829.5233,700,750,240,30,1,5,0,10,10,9.1673,0.9392,,8.0000,0.1000,0.6500,0,0,3
832.5424,773.7625,829.5233,700,750,240,30,1,5,1,10,10,3.0191,-5.5669,,8.0000,0.1000,0.6500,0,0,3
764.0879,762.7078,829.5233,700,750,240,30,1,5,0,10,10,1.3801,-10.7473,,8.0000,0.1000,0.6500,0,0,3
757.0740,753.5097,829.5233,700,750,240,30,1,5,0,10,10,3.5643,-8.9369,,8.0000,0.1000,0.6500,0,0,3
723.2662,747.8806,819.2139,700,750,240,30,1,5,0,10,10,-24.6143,-5.4062,-7.6586,8.0000,0.1000,0.6500,1,0,3
744.5691,740.6515,819.2139,700,750,240,30,1,5,0,10,10,3.9176,-7.0296,-7.6586,8.0000,0.1000,0.6500,1,0,3
726.6518,741.6258,819.2139,700,750,240,30,1,5,0,10,10,-14.9740,1.1437,-7.6586,8.0000,0.1000,0.6500,1,0,3
745.2326,736.5073,819.2139,700,750,240,30,1,5,0,10,10,8.7253,-4.9451,-7.6586,8.0000,0.1000,0.6500,1,0,3
755.6583,759.0187,819.2139,700,750,240,30,1,5,0,10,10,-3.3603,22.6635,-7.6586,8.0000,0.1000,0.6500,1,0,3
813.8067,761.6756,819.2139,700,750,240,30,1,5,1,10,10,-5.4073,2.9028,-7.6586,8.0000,0.1000,0.6500,1,0,3
771.4542,774.0774,819.2139,700,750,240,30,1,5,0,10,10,-2.6233,12.6589,-7.6586,8.0000,0.1000,0.6500,1,0,3
775.6412,775.1194,819.2139,700,750,240,30,1,5,0,10,10,0.5219,1.3506,-7.6586,8.0000,0.1000,0.6500,1,0,3
797.9625,791.1166,813.8251,700,750,240,30,1,4,0,10,10,6.8459,16.3102,-3.0817,8.5000,0.1000,0.6500,2,0,3
784.3552,784.8932,813.8251,700,750,240,30,1,4,0,10,10,-0.5380,-5.8437,-3.0817,8.5000,0.1000,0.6500,2,0,3
776.4943,797.4316,813.8251,700,750,240,30,1,4,0,10,10,-20.9373,12.8921,-3.0817,8.5000,0.1000,0.6500,2,0,3
788.3201,787.4096,813.8251,700,750,240,30,1,4,0,10,10,0.9105,-9.6160,-3.0817,8.5000,0.1000,0.6500,2,0,3
804.6482,779.3636,813.8251,700,750,240,30,1,4,1,10,10,-9.1769,-7.6818,-3.0817,8.5000,0.1000,0.6500,2,0,3
784.7633,775.2338,813.8251,700,750,240,30,1,4,0,10,10,9.5295,-3.7991,-3.0817,8.5000,0.1000,0.6500,2,0,3
758.4891,774.5834,813.8251,700,750,240,30,1,4,0,10,10,-16.0943,-0.3369,-3.0817,8.5000,0.1000,0.6500,2,0,3
779.8668,785.4182,813.8251,700,750,240,30,1,4,0,10,10,-5.5514,11.1455,-3.0817,8.5000,0.1000,0.6500,2,0,3
805.1347,783.5910,824.9758,700,750,240,30,0,3,0,10,10,21.5438,-1.4713,13.2782,10.5000,0.1000,0.6500,3,0,3
806.3318,789.0399,824.9758,700,750,240,30,0,3,0,10,10,17.2919,5.7973,13.2782,10.5000,0.1000,0.6500,3,0,3
805.0542,798.5477,824.9758,700,750,240,30,0,3,0,10,10,6.5065,9.8788,13.2782,10.5000,0.1000,0.6500,3,0,3
817.5331,816.7740,824.9758,700,750,240,30,0,3,1,10,10,-7.4427,18.6369,13.2782,10.5000,0.1000,0.6500,3,0,3
802.6491,808.6138,824.9758,700,750,240,30,0,3,0,10,10,-5.9646,-7.6737,13.2782,10.5000,0.1000,0.6500,3,0,3
791.8232,793.8574,824.9758,700,750,240,30,0,3,0,10,10,-2.0342,-14.3038,13.2782,10.5000,0.1000,0.6500,3,0,3
788.8754,790.1179,824.9758,700,750,240,30,0,3,0,10,10,-1.2426,-3.3484,13.2782,10.5000,0.1000,0.6500,3,0,3
783.2799,780.2452,824.9758,700,750,240,30,0,3,0,10,10,3.0347,-9.4972,13.2782,10.5000,0.1000,0.6500,3,0,3
779.1014,789.0104,837.1181,700,750,240,30,0,2,0,10,10,-9.9089,9.0995,14.6416,11.0000,0.1000,0.6500,4,0,3
796.4781,787.8585,837.1181,700,750,240,30,0,2,0,10,10,8.6196,-0.7810,14.6416,11.0000,0.1000,0.6500,4,0,3
832.1933,788.6336,837.1181,700,750,240,30,0,2,1,10,10,-4.9249,1.1412,14.6416,11.0000,0.1000,0.6500,4,0,3
780.5055,787.8534,837.1181,700,750,240,30,0,2,0,10,10,-7.3479,-0.4110,14.6416,11.0000,0.1000,0.6500,4,0,3
795.2173,796.9686,837.1181,700,750,240,30,0,2,0,10,10,-1.7513,9.4813,14.6416,11.0000,0.1000,0.6500,4,0,3
779.0604,784.5348,837.1181,700,750,240,30,0,2,0,10,10,-5.4744,-12.0298,14.6416,11.0000,0.1000,0.6500,4,0,3
777.8073,771.1737,837.1181,700,750,240,30,0,2,0,10,10,6.6336,-13.0089,14.6416,11.0000,0.1000,0.6500,4,0,3
767.1355,767.1060,837.1181,700,750,240,30,0,2,0,10,10,0.0295,-3.7712,14.6416,11.0000,0.1000,0.6500,4,0,3
758.0224,756.8425,841.4502,700,750,240,30,0,3,0,10,10,1.1798,-9.9838,7.2359,11.5000,0.1000,0.6500,5,0,3
744.4034,765.0799,841.4502,700,750,240,30,0,3,0,10,10,-20.6765,8.4742,7.2359,11.5000,0.1000,0.6500,5,0,3
757.4496,752.5913,841.4502,700,750,240,30,0,3,0,10,10,4.8583,-12.2174,7.2359,11.5000,0.1000,0.6500,5,0,3
836.0857,756.7869,841.4502,700,750,240,30,0,3,1,10,10,-5.3644,4.4147,7.2359,11.5000,0.1000,0.6500,5,0,3
731.7465,753.8207,841.4502,700,750,240,30,0,3,0,10,10,-22.0743,-2.7296,7.2359,11.5000,0.1000,0.6500,5,0,3
745.5175,746.4753,841.4502,700,750,240,30,0,3,0,10,10,-0.9577,-7.1212,7.2359,11.5000,0.1000,0.6500,5,0,3
746.3378,735.1072,841.4502,700,750,240,30,0,3,0,10,10,11.2307,-11.1744,7.2359,11.5000,0.1000,0.6500,5,0,3
728.9601,737.8396,841.4502,700,750,240,30,0,3,0,10,10,-8.8795,2.8787,7.2359,11.5000,0.1000,0.6500,5,0,3
738.7941,739.1331,833.0800,700,750,240,30,0,4,0,10,10,-0.3390,1.4512,-5.3219,7.5000,0.1000,0.6500,6,0,3
730.1548,745.5042,833.0800,700,750,240,30,0,4,0,10,10,-15.3494,6.5341,-5.3219,7.5000,0.1000,0.6500,6,0,3
729.1585,746.8046,833.0800,700,750,240,30,0,4,0,10,10,-17.6460,1.4900,-5.3219,7.5000,0.1000,0.6500,6,0,3
747.2135,740.2971,833.0800,700,750,240,30,0,4,0,10,10,6.9164,-6.3125,-5.3219,7.5000,0.1000,0.6500,6,0,3
