observation,frequency,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,d,rule,dpos,trial_type,sigma_q_std,sigma_q_dev,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n,state_std_hz,state_dev_hz,diff_std,diff_dev
-0.6213,609.7557,-0.6092,-0.5406,-0.6000,-0.5051,160,20,0.9000,0,3,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,0,0,0,613.5220,635.2052,-3.7662,
-0.6331,606.0847,-0.5966,-0.5406,-0.6000,-0.5051,160,20,0.9000,0,3,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,0,0,0,617.4536,635.2052,-11.3689,
-0.6451,602.3863,-0.5948,-0.5406,-0.6000,-0.5051,160,20,0.9000,0,3,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,0,0,0,618.0259,635.2052,-15.6396,
-0.5136,643.8898,-0.6014,-0.5406,-0.6000,-0.5051,160,20,0.9000,0,3,1,0.0112,0.0312,0.0333,6,0.1000,0.6500,0,0,0,615.9722,635.2052,,8.6846
-0.5396,635.5154,-0.5857,-0.5406,-0.6000,-0.5051,160,20,0.9000,0,3,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,0,0,0,620.8894,635.2052,14.6260,
-0.6102,613.1960,-0.5940,-0.5406,-0.6000,-0.5051,160,20,0.9000,0,3,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,0,0,0,618.2711,635.2052,-5.0751,
-0.5576,629.7623,-0.6032,-0.5406,-0.6000,-0.5051,160,20,0.9000,0,3,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,0,0,0,615.4029,635.2052,14.3594,
-0.6405,603.8041,-0.6232,-0.5406,-0.6000,-0.5051,160,20,0.9000,0,3,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,0,0,0,609.1630,635.2052,-5.3589,
-0.6613,597.4283,-0.6232,-0.5728,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,1,0,0,609.1630,624.9456,-11.7347,
-0.6082,613.8173,-0.6243,-0.5728,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,1,0,0,608.8112,624.9456,5.0062,
-0.6348,605.5716,-0.6123,-0.5728,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,1,0,0,612.5499,624.9456,-6.9783,
-0.6838,590.5761,-0.6128,-0.5728,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,1,0,0,612.4073,624.9456,-21.8312,
-0.6056,614.6485,-0.6210,-0.5728,-0.6000,-0.5051,160,20,0.9000,0,4,1,0.0112,0.0312,0.0333,6,0.1000,0.6500,1,0,0,609.8398,624.9456,,-10.2971
-0.6815,591.2725,-0.6135,-0.5728,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,1,0,0,612.1818,624.9456,-20.9093,
-0.6363,605.1212,-0.6079,-0.5728,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,1,0,0,613.9237,624.9456,-8.8026,
-0.5860,620.8054,-0.6083,-0.5728,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,1,0,0,613.8083,624.9456,6.9971,
-0.5429,634.4557,-0.6083,-0.5798,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,2,0,0,613.8083,622.7456,20.6474,
-0.5958,617.7204,-0.6300,-0.5798,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,2,0,0,607.0650,622.7456,10.6554,
-0.6255,608.4627,-0.6023,-0.5798,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,2,0,0,615.6868,622.7456,-7.2240,
-0.5416,634.8871,-0.5840,-0.5798,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,2,0,0,621.4051,622.7456,13.4820,
-0.5491,632.4987,-0.5863,-0.5798,-0.6000,-0.5051,160,20,0.9000,0,4,1,0.0112,0.0312,0.0333,6,0.1000,0.6500,2,0,0,620.6987,622.7456,,9.7531
-0.6244,608.7901,-0.5854,-0.5798,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,2,0,0,620.9819,622.7456,-12.1918,
-0.6200,610.1641,-0.5905,-0.5798,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,2,0,0,619.3718,622.7456,-9.2077,
-0.5574,629.8474,-0.5908,-0.5798,-0.6000,-0.5051,160,20,0.9000,0,4,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,2,0,0,619.2849,622.7456,10.5626,
-0.6360,605.2019,-0.5908,-0.6153,-0.6000,-0.5051,160,20,0.9000,0,3,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,3,0,0,619.2849,611.6260,-14.0830,
-0.6106,613.0921,-0.5938,-0.6153,-0.6000,-0.5051,160,20,0.9000,0,3,0,0.0112,0.0312,0.0333,6,0.1000,0.6500,3,0,0,618.3532,611.6260,-5.2611,
