observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
668.7800,670.5269,756.0174,700,750,240,30,1,6,0,10,10,6.0000,0.1000,0.6500,0,0,3
663.0900,676.5528,756.0174,700,750,240,30,1,6,0,10,10,6.0000,0.1000,0.6500,0,0,3
691.8300,679.7045,756.0174,700,750,240,30,1,6,0,10,10,6.0000,0.1000,0.6500,0,0,3
673.6800,678.5581,756.0174,700,750,240,30,1,6,0,10,10,6.0000,0.1000,0.6500,0,0,3
707.4500,698.6671,756.0174,700,750,240,30,1,6,0,10,10,6.0000,0.1000,0.6500,0,0,3
698.0900,699.8578,756.0174,700,750,240,30,1,6,0,10,10,6.0000,0.1000,0.6500,0,0,3
758.2900,710.9130,756.0174,700,750,240,30,1,6,1,10,10,6.0000,0.1000,0.6500,0,0,3
713.7000,713.9221,756.0174,700,750,240,30,1,6,0,10,10,6.0000,0.1000,0.6500,0,0,3
729.1600,726.0552,746.8759,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,1,0,3
731.3000,735.3185,746.8759,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,1,0,3
745.9200,737.8019,746.8759,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,1,0,3
739.5900,743.5881,746.8759,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,1,0,3
750.4200,735.5698,746.8759,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,1,0,3
742.2900,744.3558,746.8759,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,1,0,3
760.8300,729.6139,746.8759,700,750,240,30,1,6,1,10,10,5.5000,0.1000,0.6500,1,0,3
724.2500,733.1107,746.8759,700,750,240,30,1,6,0,10,10,5.5000,0.1000,0.6500,1,0,3
725.4200,728.5255,746.1646,700,750,240,30,0,4,0,10,10,5.5000,0.1000,0.6500,2,0,3
744.0400,735.6725,746.1646,700,750,240,30,0,4,0,10,10,5.5000,0.1000,0.6500,2,0,3
