observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
934.9300,934.9220,1051.4644,1000,1050,160,20,0,4,0,10,10,6.0000,0.1000,0.6500,0,0,4
916.4200,925.1083,1051.4644,1000,1050,160,20,0,4,0,10,10,6.0000,0.1000,0.6500,0,0,4
918.8700,922.4447,1051.4644,1000,1050,160,20,0,4,0,10,10,6.0000,0.1000,0.6500,0,0,4
907.4600,918.3815,1051.4644,1000,1050,160,20,0,4,0,10,10,6.0000,0.1000,0.6500,0,0,4
1052.5900,912.9502,1051.4644,1000,1050,160,20,0,4,1,10,10,6.0000,0.1000,0.6500,0,0,4
899.1700,915.5467,1051.4644,1000,1050,160,20,0,4,0,10,10,6.0000,0.1000,0.6500,0,0,4
917.1400,919.4552,1051.4644,1000,1050,160,20,0,4,0,10,10,6.0000,0.1000,0.6500,0,0,4
925.7000,915.8638,1051.4644,1000,1050,160,20,0,4,0,10,10,6.0000,0.1000,0.6500,0,0,4
919.9300,928.5372,1057.7182,1000,1050,160,20,0,3,0,10,10,3.0000,0.1000,0.6500,1,0,4
930.5500,921.8668,1057.7182,1000,1050,160,20,0,3,0,10,10,3.0000,0.1000,0.6500,1,0,4
929.2900,936.8896,1057.7182,1000,1050,160,20,0,3,0,10,10,3.0000,0.1000,0.6500,1,0,4
1063.7500,938.9716,1057.7182,1000,1050,160,20,0,3,1,10,10,3.0000,0.1000,0.6500,1,0,4
925.4700,929.6288,1057.7182,1000,1050,160,20,0,3,0,10,10,3.0000,0.1000,0.6500,1,0,4
933.6300,941.2761,1057.7182,1000,1050,160,20,0,3,0,10,10,3.0000,0.1000,0.6500,1,0,4
926.2500,927.8279,1057.7182,1000,1050,160,20,0,3,0,10,10,3.0000,0.1000,0.6500,1,0,4
928.0900,934.2947,1057.7182,1000,1050,160,20,0,3,0,10,10,3.0000,0.1000,0.6500,1,0,4
942.1000,933.9882,1051.1372,1000,1050,160,20,0,2,0,10,10,4.0000,0.1000,0.6500,2,0,4
932.4200,942.1624,1051.1372,1000,1050,160,20,0,2,0,10,10,4.0000,0.1000,0.6500,2,0,4
1061.2000,952.4024,1051.1372,1000,1050,160,20,0,2,1,10,10,4.0000,0.1000,0.6500,2,0,4
967.0000,964.3970,1051.1372,1000,1050,160,20,0,2,0,10,10,4.0000,0.1000,0.6500,2,0,4
968.5600,956.9904,1051.1372,1000,1050,160,20,0,2,0,10,10,4.0000,0.1000,0.6500,2,0,4
935.5200,948.2569,1051.1372,1000,1050,160,20,0,2,0,10,10,4.0000,0.1000,0.6500,2,0,4
