observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
1023.4600,1031.6155,1060.6104,1000,1050,40,5,0,3,0,10,10,3.5000,0.1000,0.6500,0,0,5
990.7800,1016.6601,1060.6104,1000,1050,40,5,0,3,0,10,10,3.5000,0.1000,0.6500,0,0,5
1028.5200,1039.8107,1060.6104,1000,1050,40,5,0,3,0,10,10,3.5000,0.1000,0.6500,0,0,5
1064.4700,1048.8858,1060.6104,1000,1050,40,5,0,3,1,10,10,3.5000,0.1000,0.6500,0,0,5
1035.1400,1046.8081,1060.6104,1000,1050,40,5,0,3,0,10,10,3.5000,0.1000,0.6500,0,0,5
1037.7400,1039.2484,1060.6104,1000,1050,40,5,0,3,0,10,10,3.5000,0.1000,0.6500,0,0,5
1004.0700,1015.3309,1060.6104,1000,1050,40,5,0,3,0,10,10,3.5000,0.1000,0.6500,0,0,5
996.7900,1005.0351,1060.6104,1000,1050,40,5,0,3,0,10,10,3.5000,0.1000,0.6500,0,0,5
1006.1800,1002.8478,1056.3344,1000,1050,40,5,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,5
998.6700,1000.0694,1056.3344,1000,1050,40,5,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,5
1053.3500,1014.8108,1056.3344,1000,1050,40,5,0,2,1,10,10,4.0000,0.1000,0.6500,1,0,5
1014.0000,1007.8702,1056.3344,1000,1050,40,5,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,5
998.4900,1006.6245,1056.3344,1000,1050,40,5,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,5
1011.9500,1012.3573,1056.3344,1000,1050,40,5,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,5
1025.3100,1023.8330,1056.3344,1000,1050,40,5,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,5
1032.2300,1029.8686,1056.3344,1000,1050,40,5,0,2,0,10,10,4.0000,0.1000,0.6500,1,0,5
1034.7600,1027.4613,1059.3863,1000,1050,40,5,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,5
1062.2400,1052.4512,1059.3863,1000,1050,40,5,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,5
1047.8700,1060.8300,1059.3863,1000,1050,40,5,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,5
1040.2200,1054.1467,1059.3863,1000,1050,40,5,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,5
1058.1200,1056.1584,1059.3863,1000,1050,40,5,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,5
1056.1400,1059.5324,1059.3863,1000,1050,40,5,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,5
1031.4900,1056.7411,1059.3863,1000,1050,40,5,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,5
1053.3800,1053.1643,1059.3863,1000,1050,40,5,2,0,0,10,10,3.0000,0.1000,0.6500,2,0,5
1059.5300,1057.8136,1062.0070,1000,1050,40,5,0,2,0,10,10,4.5000,0.1000,0.6500,3,0,5
1016.0700,1036.3050,1062.0070,1000,1050,40,5,0,2,0,10,10,4.5000,0.1000,0.6500,3,0,5
1067.8500,1031.6067,1062.0070,1000,1050,40,5,0,2,1,10,10,4.5000,0.1000,0.6500,3,0,5
1040.1100,1033.8729,1062.0070,1000,1050,40,5,0,2,0,10,10,4.5000,0.1000,0.6500,3,0,5
1018.2700,1033.6235,1062.0070,1000,1050,40,5,0,2,0,10,10,4.5000,0.1000,0.6500,3,0,5
1020.9200,1037.2130,1062.0070,1000,1050,40,5,0,2,0,10,10,4.5000,0.1000,0.6500,3,0,5
1033.3300,1041.9414,1062.0070,1000,1050,40,5,0,2,0,10,10,4.5000,0.1000,0.6500,3,0,5
1043.5900,1041.0639,1062.0070,1000,1050,40,5,0,2,0,10,10,4.5000,0.1000,0.6500,3,0,5
1034.3200,1049.9636,1066.0947,1000,1050,40,5,2,0,0,10,10,6.5000,0.1000,0.6500,4,0,5
1022.7800,1037.1045,1066.0947,1000,1050,40,5,2,0,0,10,10,6.5000,0.1000,0.6500,4,0,5
1034.3100,1041.5449,1066.0947,1000,1050,40,5,2,0,0,10,10,6.5000,0.1000,0.6500,4,0,5
1048.1200,1038.5770,1066.0947,1000,1050,40,5,2,0,0,10,10,6.5000,0.1000,0.6500,4,0,5
1017.9800,1025.4692,1066.0947,1000,1050,40,5,2,0,0,10,10,6.5000,0.1000,0.6500,4,0,5
1000.9200,1004.5273,1066.0947,1000,1050,40,5,2,0,0,10,10,6.5000,0.1000,0.6500,4,0,5
990.5900,988.7163,1066.0947,1000,1050,40,5,2,0,0,10,10,6.5000,0.1000,0.6500,4,0,5
972.6700,974.8187,1066.0947,1000,1050,40,5,2,0,0,10,10,6.5000,0.1000,0.6500,4,0,5
975.1800,984.1149,1068.6126,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,5,0,5
1005.1200,993.9423,1068.6126,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,5,0,5
996.5300,1001.2138,1068.6126,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,5,0,5
1076.8100,990.6460,1068.6126,1000,1050,40,5,0,3,1,10,10,4.0000,0.1000,0.6500,5,0,5
970.8200,972.7892,1068.6126,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,5,0,5
978.5100,969.4425,1068.6126,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,5,0,5
962.0200,963.6539,1068.6126,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,5,0,5
956.7200,955.3990,1068.6126,1000,1050,40,5,0,3,0,10,10,4.0000,0.1000,0.6500,5,0,5
964.3400,960.6907,1054.5928,1000,1050,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,6,0,5
966.3300,968.8172,1054.5928,1000,1050,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,6,0,5
963.8700,970.3415,1054.5928,1000,1050,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,6,0,5
977.7300,979.9350,1054.5928,1000,1050,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,6,0,5
1064.7500,984.7753,1054.5928,1000,1050,40,5,0,4,1,10,10,4.0000,0.1000,0.6500,6,0,5
1005.9900,1000.7409,1054.5928,1000,1050,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,6,0,5
1015.0800,1013.1237,1054.5928,1000,1050,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,6,0,5
1004.2500,1019.8302,1054.5928,1000,1050,40,5,0,4,0,10,10,4.0000,0.1000,0.6500,6,0,5
1017.0200,1024.0166,1062.6973,1000,1050,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,7,0,5
1012.4300,1014.8964,1062.6973,1000,1050,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,7,0,5
1066.1800,1012.1354,1062.6973,1000,1050,40,5,0,2,1,10,10,6.0000,0.1000,0.6500,7,0,5
1026.7400,1020.6114,1062.6973,1000,1050,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,7,0,5
1037.3600,1033.4668,1062.6973,1000,1050,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,7,0,5
1034.8600,1037.6862,1062.6973,1000,1050,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,7,0,5
1013.4200,1022.5465,1062.6973,1000,1050,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,7,0,5
1047.1900,1033.6825,1062.6973,1000,1050,40,5,0,2,0,10,10,6.0000,0.1000,0.6500,7,0,5
1028.4400,1039.8131,1039.8762,1000,1050,40,5,0,3,0,10,10,4.5000,0.1000,0.6500,8,0,5
1040.4900,1029.4034,1039.8762,1000,1050,40,5,0,3,0,10,10,4.5000,0.1000,0.6500,8,0,5
1025.4500,1024.7709,1039.8762,1000,1050,40,5,0,3,0,10,10,4.5000,0.1000,0.6500,8,0,5
1056.9000,1030.4908,1039.8762,1000,1050,40,5,0,3,1,10,10,4.5000,0.1000,0.6500,8,0,5
1023.7800,1027.5653,1039.8762,1000,1050,40,5,0,3,0,10,10,4.5000,0.1000,0.6500,8,0,5
1041.7800,1034.3749,1039.8762,1000,1050,40,5,0,3,0,10,10,4.5000,0.1000,0.6500,8,0,5
1058.7500,1055.8435,1039.8762,1000,1050,40,5,0,3,0,10,10,4.5000,0.1000,0.6500,8,0,5
1069.1500,1065.4527,1039.8762,1000,1050,40,5,0,3,0,10,10,4.5000,0.1000,0.6500,8,0,5
1078.3300,1073.9977,1036.3232,1000,1050,40,5,0,4,0,10,10,5.0000,0.1000,0.6500,9,0,5
1085.3700,1085.3410,1036.3232,1000,1050,40,5,0,4,0,10,10,5.0000,0.1000,0.6500,9,0,5
1069.8300,1065.4201,1036.3232,1000,1050,40,5,0,4,0,10,10,5.0000,0.1000,0.6500,9,0,5
1098.0800,1075.2692,1036.3232,1000,1050,40,5,0,4,0,10,10,5.0000,0.1000,0.6500,9,0,5
1042.0300,1064.8539,1036.3232,1000,1050,40,5,0,4,1,10,10,5.0000,0.1000,0.6500,9,0,5
1060.1000,1065.9351,1036.3232,1000,1050,40,5,0,4,0,10,10,5.0000,0.1000,0.6500,9,0,5
1071.2500,1054.4933,1036.3232,1000,1050,40,5,0,4,0,10,10,5.0000,0.1000,0.6500,9,0,5
1064.8000,1047.5604,1036.3232,1000,1050,40,5,0,4,0,10,10,5.0000,0.1000,0.6500,9,0,5
1053.3900,1048.1964,1032.4385,1000,1050,40,5,0,4,0,10,10,7.0000,0.1000,0.6500,10,0,5
1064.6500,1056.4353,1032.4385,1000,1050,40,5,0,4,0,10,10,7.0000,0.1000,0.6500,10,0,5
1058.3300,1060.0140,1032.4385,1000,1050,40,5,0,4,0,10,10,7.0000,0.1000,0.6500,10,0,5
1067.5500,1062.4531,1032.4385,1000,1050,40,5,0,4,0,10,10,7.0000,0.1000,0.6500,10,0,5
1036.7400,1069.7943,1032.4385,1000,1050,40,5,0,4,1,10,10,7.0000,0.1000,0.6500,10,0,5
1066.0800,1061.7207,1032.4385,1000,1050,40,5,0,4,0,10,10,7.0000,0.1000,0.6500,10,0,5
1069.5300,1056.6633,1032.4385,1000,1050,40,5,0,4,0,10,10,7.0000,0.1000,0.6500,10,0,5
1031.0300,1038.4839,1032.4385,1000,1050,40,5,0,4,0,10,10,7.0000,0.1000,0.6500,10,0,5
1061.2400,1048.0224,1048.1796,1000,1050,40,5,0,3,0,10,10,3.5000,0.1000,0.6500,11,0,5
1077.6000,1067.8150,1048.1796,1000,1050,40,5,0,3,0,10,10,3.5000,0.1000,0.6500,11,0,5
1064.2600,1088.6663,1048.1796,1000,1050,40,5,0,3,0,10,10,3.5000,0.1000,0.6500,11,0,5
