onset	onset_tone	duration	duration_getsecs	offset_trial	offset_sound	offset_sound_getsecs	onset_iti	onset_iti_getsecs	offset_iti	offset_iti_getsecs	ITI	rt_getsecs_trial	rt_getsecs_dev	rt_slider_getsecs	tau_std	frequency	lim_std	lim_dev	key_pressed	correct	confidence	rule	dpos	trial_type	is_catch_n_minus_one	catch_key	catch_correct	catch_rt	runs	trial_no
491257.83907466603	491257.83907466603	5.35	5.342578000971116	491269.189028125	491263.189074666	491263.181652667	491263.189074666	491263.194136875	491269.189074666	491269.193699042	6			0.6955742909922265	240	993.82	0.3	0.501		3	5	0	4	0	0				1	60
491257.83907466603	491258.58907466603	5.35	5.342578000971116	491269.189028125	491263.189074666	491263.181652667	491263.189074666	491263.194136875	491269.189074666	491269.193699042	6			0.6955742909922265	240	991.2	0.3	0.501		3	5	0	4	0	0				1	60
491257.83907466603	491259.33907466603	5.35	5.342578000971116	491269.189028125	491263.189074666	491263.181652667	491263.189074666	491263.194136875	491269.189074666	491269.193699042	6			0.6955742909922265	240	989.21	0.3	0.501		3	5	0	4	0	0				1	60
491257.83907466603	491260.08907466603	5.35	5.342578000971116	491269.189028125	491263.189074666	491263.181652667	491263.189074666	491263.194136875	491269.189074666	491269.193699042	6			0.6955742909922265	240	1002.82	0.3	0.501		3	5	0	4	0	0				1	60
491257.83907466603	491260.83907466603	5.35	5.342578000971116	491269.189028125	491263.189074666	491263.181652667	491263.189074666	491263.194136875	491269.189074666	491269.193699042	6			0.6955742909922265	240	1048.02	0.3	0.501		3	5	0	4	1	0				1	60
491257.83907466603	491261.58907466603	5.35	5.342578000971116	491269.189028125	491263.189074666	491263.181652667	491263.189074666	491263.194136875	491269.189074666	491269.193699042	6			0.6955742909922265	240	995.68	0.3	0.501		3	5	0	4	0	0				1	60
491257.83907466603	491262.33907466603	5.35	5.342578000971116	491269.189028125	491263.189074666	491263.181652667	491263.189074666	491263.194136875	491269.189074666	491269.193699042	6			0.6955742909922265	240	982.06	0.3	0.501		3	5	0	4	0	0				1	60
491257.83907466603	491263.08907466603	5.35	5.342578000971116	491269.189028125	491263.189074666	491263.181652667	491263.189074666	491263.194136875	491269.189074666	491269.193699042	6			0.6955742909922265	240	979.44	0.3	0.501		3	5	0	4	0	0				1	60
491269.199340583	491269.199340583	5.35	5.349201834003907	491280.549292333	491274.549340583	491274.548542417	491274.549340583	491274.560285417	491280.549340583	491280.560140459	6	4.028454501007218	1.778454501007218	0.3776864579995163	240	992.18	0.3	0.501	y	1	5	0	3	0	0				1	61
491269.199340583	491269.949340583	5.35	5.349201834003907	491280.549292333	491274.549340583	491274.548542417	491274.549340583	491274.560285417	491280.549340583	491280.560140459	6	4.028454501007218	1.778454501007218	0.3776864579995163	240	972.48	0.3	0.501	y	1	5	0	3	0	0				1	61
