onset	onset_tone	duration	duration_getsecs	offset_trial	offset_sound	offset_sound_getsecs	onset_iti	onset_iti_getsecs	offset_iti	offset_iti_getsecs	ITI	rt_getsecs_trial	rt_getsecs_dev	rt_slider_getsecs	tau_std	frequency	lim_std	lim_dev	key_pressed	correct	confidence	rule	dpos	trial_type	is_catch_n_minus_one	catch_key	catch_correct	catch_rt	runs	trial_no
490522.29539175	490522.29539175	5.35	5.338856209011283	490533.646147875	490527.64539175	490527.634247959	490527.64539175	490527.64733025	490533.64539175	490533.646864417	6	5.43596970901126	0.9359697090112604	0.33901445794617757	160	635.42	-0.6	-0.399	l	1	5	1	6	0	0				0	0
490522.29539175	490523.04539175	5.35	5.338856209011283	490533.646147875	490527.64539175	490527.634247959	490527.64539175	490527.64733025	490533.64539175	490533.646864417	6	5.43596970901126	0.9359697090112604	0.33901445794617757	160	633.35	-0.6	-0.399	l	1	5	1	6	0	0				0	0
490522.29539175	490523.79539175	5.35	5.338856209011283	490533.646147875	490527.64539175	490527.634247959	490527.64539175	490527.64733025	490533.64539175	490533.646864417	6	5.43596970901126	0.9359697090112604	0.33901445794617757	160	633.8	-0.6	-0.399	l	1	5	1	6	0	0				0	0
490522.29539175	490524.54539175	5.35	5.338856209011283	490533.646147875	490527.64539175	490527.634247959	490527.64539175	490527.64733025	490533.64539175	490533.646864417	6	5.43596970901126	0.9359697090112604	0.33901445794617757	160	632.69	-0.6	-0.399	l	1	5	1	6	0	0				0	0
490522.29539175	490525.29539175	5.35	5.338856209011283	490533.646147875	490527.64539175	490527.634247959	490527.64539175	490527.64733025	490533.64539175	490533.646864417	6	5.43596970901126	0.9359697090112604	0.33901445794617757	160	636.59	-0.6	-0.399	l	1	5	1	6	0	0				0	0
490522.29539175	490526.04539175	5.35	5.338856209011283	490533.646147875	490527.64539175	490527.634247959	490527.64539175	490527.64733025	490533.64539175	490533.646864417	6	5.43596970901126	0.9359697090112604	0.33901445794617757	160	634.58	-0.6	-0.399	l	1	5	1	6	0	0				0	0
490522.29539175	490526.79539175	5.35	5.338856209011283	490533.646147875	490527.64539175	490527.634247959	490527.64539175	490527.64733025	490533.64539175	490533.646864417	6	5.43596970901126	0.9359697090112604	0.33901445794617757	160	671.58	-0.6	-0.399	l	1	5	1	6	1	0				0	0
490522.29539175	490527.54539175	5.35	5.338856209011283	490533.646147875	490527.64539175	490527.634247959	490527.64539175	490527.64733025	490533.64539175	490533.646864417	6	5.43596970901126	0.9359697090112604	0.33901445794617757	160	637.87	-0.6	-0.399	l	1	5	1	6	0	0				0	0
490533.653335375	490533.653335375	5.35	5.343878916988615	490545.00327887497	490539.003335375	490538.997214292	490539.003335375	490539.006242375	490545.003335375	490545.013895834	6	5.344689708959777	0.8446897089597769	0.4943282500025816	160	632.63	-0.6	-0.399	l	1	5	1	6	0	0				0	1
490533.653335375	490534.403335375	5.35	5.343878916988615	490545.00327887497	490539.003335375	490538.997214292	490539.003335375	490539.006242375	490545.003335375	490545.013895834	6	5.344689708959777	0.8446897089597769	0.4943282500025816	160	645.87	-0.6	-0.399	l	1	5	1	6	0	0				0	1
490533.653335375	490535.153335375	5.35	5.343878916988615	490545.00327887497	490539.003335375	490538.997214292	490539.003335375	490539.006242375	490545.003335375	490545.013895834	6	5.344689708959777	0.8446897089597769	0.4943282500025816	160	639.24	-0.6	-0.399	l	1	5	1	6	0	0				0	1
490533.653335375	490535.903335375	5.35	5.343878916988615	490545.00327887497	490539.003335375	490538.997214292	490539.003335375	490539.006242375	490545.003335375	490545.013895834	6	5.344689708959777	0.8446897089597769	0.4943282500025816	160	648.86	-0.6	-0.399	l	1	5	1	6	0	0				0	1
490533.653335375	490536.653335375	5.35	5.343878916988615	490545.00327887497	490539.003335375	490538.997214292	490539.003335375	490539.006242375	490545.003335375	490545.013895834	6	5.344689708959777	0.8446897089597769	0.4943282500025816	160	651.69	-0.6	-0.399	l	1	5	1	6	0	0				0	1
490533.653335375	490537.403335375	5.35	5.343878916988615	490545.00327887497	490539.003335375	490538.997214292	490539.003335375	490539.006242375	490545.003335375	490545.013895834	6	5.344689708959777	0.8446897089597769	0.4943282500025816	160	653.51	-0.6	-0.399	l	1	5	1	6	0	0				0	1
490533.653335375	490538.153335375	5.35	5.343878916988615	490545.00327887497	490539.003335375	490538.997214292	490539.003335375	490539.006242375	490545.003335375	490545.013895834	6	5.344689708959777	0.8446897089597769	0.4943282500025816	160	684.82	-0.6	-0.399	l	1	5	1	6	1	0				0	1
